Date,GE_Close,GE_Return,SP_Close,SP_Return,Risk_Free,GE_DTVolume,CPI,Oil_Change,GDP_Growth,SMB,HML
03/01/2000,50,-0.031,1455.22,-0.01,0.021,0.213580294,0.0005,-0.002,0.0045,0.4,-0.86
04/01/2000,48,-0.04,1399.42,-0.038,0.021,0.002338037,0.0005,-0.002,0.0045,-0.07,2.25
05/01/2000,47.917,-0.002,1402.11,0.002,0.021,0.233773631,0.0005,-0.025,0.0045,0.19,0.11
06/01/2000,48.557,0.013,1403.45,0.001,0.021,-0.271851917,0.0005,-0.0052,0.0045,-0.67,1.35
07/01/2000,50.438,0.039,1441.47,0.027,0.021,0.013495562,0.0005,-0.0226,0.0045,-0.57,-1.26
10/01/2000,50.417,0,1457.6,0.011,0.021,-0.24401978,0.0005,0.0186,0.0045,1.03,-1.54
11/01/2000,50.5,0.002,1438.56,-0.013,0.021,-0.00679736,0.0005,0.0446,0.0045,0.17,0.95
12/01/2000,50.667,0.003,1432.25,-0.004,0.021,0.21287443,0.0005,0.0198,0.0045,-0.56,0.93
13/01/2000,51.25,0.012,1449.68,0.012,0.021,-0.184753275,0.0005,0.0156,0.0045,1.03,-1.36
14/01/2000,50.333,-0.018,1465.15,0.011,0.021,0.235851139,0.0005,0.0498,0.0045,0.12,-0.23
18/01/2000,49.333,-0.02,1455.14,-0.007,0.021,-0.009934904,0.0005,0.0296,0.0045,2.56,-0.49
19/01/2000,49.573,0.005,1455.9,0.001,0.021,-0.188394629,0.0005,0.0239,0.0045,0.92,-0.49
20/01/2000,48.646,-0.019,1445.57,-0.007,0.021,1.071354977,0.0005,0.0041,0.0045,1.95,-1.2
21/01/2000,48.042,-0.012,1441.36,-0.003,0.021,-0.219565005,0.0005,-0.0492,0.0045,1.43,-0.49
24/01/2000,46.042,-0.042,1401.53,-0.028,0.021,0.129583344,0.0005,-0.0131,0.0045,1.1,0.84
25/01/2000,46.167,0.003,1410.03,0.006,0.021,-0.063748105,0.0005,0.0162,0.0045,-0.24,-0.42
26/01/2000,47.146,0.021,1404.09,-0.004,0.021,-0.375409158,0.0005,-0.0156,0.0045,-0.26,0.33
27/01/2000,47.25,0.002,1398.56,-0.004,0.021,0.213580294,0.0005,-0.0187,0.0045,-0.38,-0.11
28/01/2000,44.667,-0.055,1360.16,-0.027,0.021,0.551001637,0.0005,-0.0037,0.0045,-0.1,1.36
