,,,,,,,,,,,,,,,,
Сумма по полю Значения2,,,ММГГ,,,,,,,,,,,,,
Показатель,Пол,Возраст,9 2018,10 2018,11 2018,12 2018,1 2019,2 2019,3 2019,4 2019,5 2019,6 2019,7 2019,8 2019,9 2019,Total Result
1.1 Активные клиенты,???,???,1984.56536417884,2139.42394555863,2094.84147918555,2032.65780981227,23142.8142890214,23785.1249803696,23229.5570106116,10909.1828621309,10776.7208973003,11451.8698764493,3576.36426177752,3878.06411599754,9510.93967088219,128512.126563276
,,0-13,77.1281008499999,80.9273156848175,83.7936591674222,89.2029686320494,68.8905105823045,68.6418318848931,58.4134205333794,58.1357999580652,53.8690452850731,48.1293563325048,54.2095361269022,49.9258538220054,52.7815366350792,844.048935494496
,,14-21,898.83902144423,859.300951998789,902.619416294688,887.642655076295,847.206704607915,831.004305159664,830.930907087322,809.541014416058,819.683040418815,752.568117199165,745.747402394411,798.813661152087,872.361508274225,10856.2587055237
,,22-29,2101.7407481625,2059.96803561353,2086.02109401004,2232.99890329737,1996.35905134253,1951.18058294079,1994.81831121491,1988.24435856583,1952.38891154819,1871.21103559405,1888.54302885343,2054.30204402899,2257.87684494505,26435.6529501172
,,30-39,2146.23772942211,2104.11020780525,2113.95231373251,2598.58484031396,2472.72960324144,2476.94780588891,2456.2843334286,2457.69094322721,2493.9912046846,2526.0619747848,2584.47626291501,2688.65406906153,2763.69990436456,31883.4211928705
,,30-40,,,,,,,,,,,,1.4684074653531,1.46615379541887,2.93456126077197
,,40-54,2350.92384321634,2279.2074908324,2277.1294394796,2760.90499634933,2654.48329073518,2659.50586941256,2631.52459502874,2603.03044312237,2626.47993768302,2638.36380622731,2704.61631595301,2794.37940656695,2872.19528522556,33852.7447198324
,,55-59,701.569071193269,672.432423053847,665.939080751618,776.50453022325,747.535327595219,747.757828192878,752.072789367259,764.485769448557,759.990314562383,765.694305289849,776.514976952923,791.471623825321,804.918433684958,9726.88647414133
,,60-69,838.026480389423,825.458619985138,837.936591674221,998.78077992934,963.001392607959,974.129826962207,969.662780854097,959.240699308075,940.524412274519,950.919403902821,987.492631068434,1026.41681828182,1026.30765679321,12297.8980940313
,,От 70,1211.80112297019,1162.41053438192,1170.17109995207,1297.09890453488,1190.19350197513,1184.43671614145,1179.95109477426,1232.47895911098,1195.31043727149,1194.48311625216,1201.40053037999,1214.37297384701,1206.64457362973,15640.7535652213
,??? Result,,12310.8314818269,12183.2395249143,12232.4041742477,13674.3763881688,34083.2136717091,34678.7297469529,34103.2152429002,21782.0308492881,21618.9582010284,22199.300992032,14519.3649464216,15297.8689740486,21369.19156823,270052.725761768
,,,,,,,,,,,,,,,,
,Totals,0-13,308.5124034,288.395524985895,282.25232561658,274.92062463648,277.027797873522,113.916231638759,52.5720784800414,50.868824963307,50.9572049993935,52.5047523627325,52.7444135288778,52.8626687527116,51.3153828396603,1908.85023407796
,,14-21,19902.0164847173,27344.60426703,31810.7191355061,14452.3432621401,13920.2804042584,10528.4886395361,12420.1535409098,15839.0986985749,19573.3904003384,21926.5679728144,22573.1438677617,25312.4078877567,27339.3698231756,262942.584384519
,,22-29,36121.1661538471,43288.7568626787,48892.8650920929,29186.918867657,28656.9866466944,21518.4840636599,22677.5501865712,28650.7756143335,35865.136798716,40672.2230316534,42544.230001432,46033.1056313544,47192.5583669425,471300.757317633
,,30-39,17079.424640149,19399.0132725206,21385.0238580437,15272.7181048053,15189.624705626,11429.5952410888,11326.3622414223,13554.3617602229,16584.3863470883,18344.5770894014,18990.919115592,20518.0575133789,20766.6023583128,219840.666247652
,,40-54,20510.1418952654,22346.2389691877,24192.8464722503,19851.3163800012,20098.4400235013,14779.9008228749,13497.8811497506,15144.375889076,18091.2636949275,20071.4000559979,20829.6479761126,22321.2618808325,22248.8838454813,253983.599055259
