Показатель,Тип,Пол,Возраст,01-09-2018,01-10-2018,01-11-2018,01-12-2018,01-01-2019,01-02-2019,01-03-2019,01-04-2019,01-05-2019,01-06-2019,01-07-2019,01-08-2019,01-09-2019
 Активные клиенты,Total,0,0-13,369393.173159405,366166.675359005,369425.662370421,372573.015444857,379498.767975839,377819.247339534,375011.239153269,373593.731085517,373223.672696843,373615.067021144,375330.711794092,375501.157040095,374534.851654931
 Активные клиенты,Total,0,14-21,5466236.11253557,5528261.17548332,5543074.03931743,5528392.00190872,5514931.61904492,5510734.21713766,5524139.65581553,5546088.45982947,5590427.60527489,5686148.00365645,5813943.4471583,5928298.6713475,6097207.28593451
 Активные клиенты,Total,0,22-29,10672000.2458717,10571811.8721868,10544605.830142,10497918.6312752,10463035.0485297,10382927.0629338,10335064.5899381,10285706.9288757,10282909.1828526,10274129.9423395,10322393.7987148,10336402.0828538,10335256.7854343
 Активные клиенты,Total,0,30-39,18989984.1083296,18895045.0354192,18930038.7018208,18955230.1521235,19002660.2334014,18954346.5266321,18961879.8081205,18951773.7252396,19051031.00373,19141176.2753181,19321337.9592663,19437896.9818651,19481276.6412519
 Активные клиенты,Total,0,40-54,21952545.6571481,21845725.5927632,21903888.8962503,21938393.850054,21984908.4501762,21929286.4414524,21944203.2794914,21921620.7185674,22068118.3006153,22203908.2840518,22440666.0173257,22606773.1547659,22670061.4478299
 Активные клиенты,Total,0,55-59,9043618.38434903,8949333.96235388,8924132.01601676,8892882.30495994,8862762.72065793,8800445.12647895,8761773.58498272,8689652.49040693,8688651.87580058,8685603.03500105,8712931.71770081,8720885.15239925,8688808.59163901
 Активные клиенты,Total,0,60-69,14568621.6600342,14507482.3312225,14560921.1777599,14603372.6620966,14667030.0868819,14645792.2089459,14657275.1015037,14647109.8707397,14718835.7924598,14777255.4504123,14875232.9696236,14953709.505949,14980386.8185398
 Активные клиенты,Total,0,От 70,10792287.4520781,10764992.7317551,10837473.4893173,10915879.8719725,11034816.026074,11066710.70381,11084638.7452421,11089023.0525112,11145739.8726246,11196970.971451,11260992.3584419,11329571.2193051,11357419.6254479
 Активные клиенты,Total,1,0-13,381084.013369015,377998.248912125,381563.98243613,384126.531054582,391342.072773819,389660.693571932,386619.446148765,384912.771337353,384369.741390282,384288.116404213,385879.594499868,386354.15661652,385811.040495498
 Активные клиенты,Total,1,14-21,5854372.89743424,5937117.74556893,6008391.9891877,6005256.44877817,5956817.34025298,5943469.85091413,6002874.1454744,6010304.27588962,6052953.0517731,6057026.98969336,6235774.21996849,6399233.09796836,6594620.4871835
 Активные клиенты,Total,1,22-29,10941696.4492863,10879373.9283383,10891321.9408138,10856011.5189267,10802622.7587897,10748417.0688953,10760748.0110686,10765753.1232644,10811216.0132446,10795516.7179549,10882047.1891985,10933060.0882507,10955236.0455189
 Активные клиенты,Total,1,30-39,17353394.0369972,17303488.7172066,17363852.8883867,17457326.5911354,17494825.7789312,17485387.9568633,17518408.249294,17579360.4422346,17720138.0031565,17860685.9992997,18058915.0726786,18210377.3559808,18236207.1089519
 Активные клиенты,Total,1,40-54,18283391.3279521,18221122.078351,18296923.2144356,18399051.1050465,18432372.8607567,18410196.4369194,18430263.6488528,18468121.6578585,18612721.8769676,18750832.610808,18957969.9734851,19117236.4384336,19155275.8786868
 Активные клиенты,Total,1,55-59,6146956.864776,6100546.78108007,6099796.17069739,6110589.06895139,6097430.20112919,6078900.18522302,6068654.95867256,6052375.70092427,6068739.59388191,6081714.43256125,6109083.60379472,6124579.22883378,6104935.38259016
 Активные клиенты,Total,1,60-69,9594060.87485755,9559137.47150212,9599483.91781485,9647947.41349279,9687837.98230239,9675980.45495781,9678759.14319981,9673784.03246705,9715288.1408435,9749041.58168255,9815219.63456965,9871913.96500587,9889999.07314978
 Активные клиенты,Total,1,От 70,4677174.11032423,4665907.0565746,4696436.13766756,4737038.8332676,4815464.27876962,4834561.05681368,4843221.71433549,4846653.74374399,4883750.17450301,4912117.11046368,4951247.02874438,4989899.66494641,5010302.02662285
 Активные клиенты,Дебетовые карты,0,0-13,3529.72876384071,3656.07903443399,3354.50672458851,3194.40421754761,4346.90599135152,4152.46844353831,4120.44746192706,4257.19101701662,4238.92977243364,4298.75357647603,3818.74543201504,3548.28317834892,4321.20585402616
 Активные клиенты,Дебетовые карты,0,14-21,4964837.84146613,5027999.74909926,5039744.96604517,5028888.37293642,5049901.45599414,5038688.9320524,5053780.0250014,5068114.75897799,5117432.31387321,5211323.38474857,5348522.50984802,5463344.82658075,5615205.37065781
 Активные клиенты,Дебетовые карты,0,22-29,9362498.65256498,9269729.35786769,9250356.10580375,9185754.26121486,9240195.26478618,9160300.012275,9128985.96879092,9066595.75517947,9068349.3061968,9057756.77110966,9117142.31646361,9129675.12597489,9112279.55726223
 Активные клиенты,Дебетовые карты,0,30-39,16255553.6135123,16189937.991917,16232261.41208,16203691.6602776,16417206.2557618,16368702.739454,16402155.1770165,16372949.0190055,16472486.9203831,16551718.304967,16757778.9804052,16872400.5073645,16920991.4237589
 Активные клиенты,Дебетовые карты,0,40-54,18206324.5187331,18154824.3993735,18224211.5616856,18218520.3204406,18451159.6094525,18393648.0480296,18430360.5729794,18418783.3983259,18557085.1166407,18675834.9928712,18942774.3130383,19105828.8049088,19188064.3887421
 Активные клиенты,Дебетовые карты,0,55-59,7729161.14377314,7657925.45272532,7642752.00146547,7595636.16179402,7635376.41414626,7571257.04141774,7540415.92887236,7475705.83253703,7477630.84181072,7469171.13106392,7517484.69505747,7528814.17430861,7509929.03461777
 Активные клиенты,Дебетовые карты,0,60-69,10654506.4563462,10658496.1597762,10736912.6354002,10760551.5404077,10906813.7322121,10886664.2509871,10925208.4167748,10940511.9257728,11043898.8133894,11118753.1112835,11268672.5679272,11376230.7445426,11439368.1254844
 Активные клиенты,Дебетовые карты,0,От 70,3958495.87523926,3997084.63438292,4066068.71227675,4118544.77101669,4200392.45841323,4214193.41595017,4245762.61888083,4286548.50172776,4349156.50828185,4394975.93130204,4474569.04392102,4546761.51465636,4606292.11176424
 Активные клиенты,Дебетовые карты,1,0-13,5527.06786951254,5555.16786082217,5264.60927556618,5061.00668068836,6743.22066475646,6443.13221306156,6392.83911972988,6533.88798655348,6428.56304208934,6415.30988440502,5850.80581388377,5503.00835262839,6518.60379001426
 Активные клиенты,Дебетовые карты,1,14-21,5230534.7730067,5262711.14194627,5289836.82195154,5368241.75431545,5449600.56517454,5426583.9336835,5488465.28382848,5489482.29128061,5539885.13256455,5540031.43520361,5732288.05934848,5895406.90107541,6074674.95033138
 Активные клиенты,Дебетовые карты,1,22-29,9280410.40734476,9175504.65216123,9163450.87495691,9157097.02337892,9272143.18502989,9215136.89286617,9245081.33190321,9242952.65181209,9294842.99798805,9271280.98124816,9371357.03738146,9417052.1579317,9428722.52164882
 Активные клиенты,Дебетовые карты,1,30-39,14510994.5158234,14485401.4165608,14541168.6767364,14563898.9619384,14787675.501992,14767723.4343856,14826742.4750162,14871017.2553124,15007054.9691405,15117129.2759073,15337379.0586725,15475376.4099578,15513092.2209449
 Активные клиенты,Дебетовые карты,1,40-54,15068198.305791,15041023.2964128,15114994.8252901,15149244.9347663,15367891.0990989,15333425.1734339,15377482.1265972,15409768.2632561,15546600.3958467,15660925.2500515,15893542.0837517,16045641.6818989,16099840.1520642
 Активные клиенты,Дебетовые карты,1,55-59,5020419.48313579,4992765.21252611,4997378.24096516,4991561.65698758,5038227.32876999,5015403.20048093,5011824.91488924,4998081.64358789,5018894.30673792,5027029.82371731,5069560.14394692,5086448.45757017,5078367.66151265
