,Показатель,Пол,Возраст,01-09-2018,01-10-2018,01-11-2018,01-12-2018,01-01-2019,01-02-2019,01-03-2019,01-04-2019,01-05-2019,01-06-2019,01-07-2019,01-08-2019,01-09-2019
26,Активные клиенты,Жен,0-13,369393.173159405,366166.675359005,369425.662370421,372573.015444857,379498.767975839,377819.247339534,375011.239153269,373593.731085517,373223.672696843,373615.067021144,375330.711794092,375501.157040095,374534.851654931
27,Активные клиенты,Жен,0-14,167.605296077884,172.154471547703,176.407703510362,190.10468724863,206.671531746913,214.688282703815,226.352004566845,233.996594831212,246.050504139928,256.689900440025,276.908171026608,289.276270674561,297.62922047003
28,Активные клиенты,Жен,14-21,5466236.11253557,5528261.17548332,5543074.03931743,5528392.00190872,5514931.61904492,5510734.21713766,5524139.65581553,5546088.45982947,5590427.60527489,5686148.00365645,5813943.4471583,5928298.6713475,6097207.28593451
29,Активные клиенты,Жен,14-22,180184.592679978,185726.718090916,189232.543555566,191640.1481841,188069.628134147,184912.332310853,180366.039251942,177113.621362243,172811.897274515,169917.04636855,169311.032550296,169273.607383509,169669.181821053
30,Активные клиенты,Жен,22-29,10672000.2458717,10571811.8721868,10544605.830142,10497918.6312752,10463035.0485297,10382927.0629338,10335064.5899381,10285706.9288757,10282909.1828526,10274129.9423395,10322393.7987148,10336402.0828538,10335256.7854343
31,Активные клиенты,Жен,22-30,996308.175660709,1004699.38157535,1020897.84136999,1031527.04347979,1013539.17802003,1000809.59259781,989727.790807313,990357.88623563,990976.412984347,990388.393026162,993914.263415575,997985.512937651,998142.84238321
32,Активные клиенты,Жен,30-39,18989984.1083296,18895045.0354192,18930038.7018208,18955230.1521235,19002660.2334014,18954346.5266321,18961879.8081205,18951773.7252396,19051031.00373,19141176.2753181,19321337.9592663,19437896.9818651,19481276.6412519
33,Активные клиенты,Жен,30-40,1444631.57741113,1459917.00370819,1486328.98618334,1499007.6305179,1478088.41145413,1457308.44438702,1436539.3461447,1444208.08916326,1457839.04558808,1469713.02813761,1486752.20293902,1505757.87764182,1516391.55521889
34,Активные клиенты,Жен,40-54,21952545.6571481,21845725.5927632,21903888.8962503,21938393.850054,21984908.4501762,21929286.4414524,21944203.2794914,21921620.7185674,22068118.3006153,22203908.2840518,22440666.0173257,22606773.1547659,22670061.4478299
35,Активные клиенты,Жен,40-55,1344317.58285945,1357658.71901459,1379544.99305593,1386685.00722893,1364150.83572872,1336307.49941903,1309573.39560886,1316438.68141042,1329373.01994432,1341210.56366051,1358871.90721565,1379711.24922338,1392548.47642745
36,Активные клиенты,Жен,55-59,9043618.38434903,8949333.96235388,8924132.01601676,8892882.30495994,8862762.72065793,8800445.12647895,8761773.58498272,8689652.49040693,8688651.87580058,8685603.03500105,8712931.71770081,8720885.15239925,8688808.59163901
37,Активные клиенты,Жен,55-60,327671.320297681,327883.640822867,330524.823617995,329464.584095608,320247.06585288,309941.238392423,300364.729053663,299393.55620404,300828.043594134,300960.157473869,302785.166352915,305430.22120091,306427.609396338
38,Активные клиенты,Жен,60-69,14568621.6600342,14507482.3312225,14560921.1777599,14603372.6620966,14667030.0868819,14645792.2089459,14657275.1015037,14647109.8707397,14718835.7924598,14777255.4504123,14875232.9696236,14953709.505949,14980386.8185398
39,Активные клиенты,Жен,60-70,377062.969495854,379178.316315383,383439.784350124,381041.44808991,368932.136256949,355184.968391617,340956.214982309,340204.887774602,342787.662110777,342514.752038285,344009.320893527,347268.086703751,348924.077156554
40,Активные клиенты,Жен,От 70,10792287.4520781,10764992.7317551,10837473.4893173,10915879.8719725,11034816.026074,11066710.70381,11084638.7452421,11089023.0525112,11145739.8726246,11196970.971451,11260992.3584419,11329571.2193051,11357419.6254479
44,Активные клиенты,Муж,0-13,381084.013369015,377998.248912125,381563.98243613,384126.531054582,391342.072773819,389660.693571932,386619.446148765,384912.771337353,384369.741390282,384288.116404213,385879.594499868,386354.15661652,385811.040495498
45,Активные клиенты,Муж,0-14,468.701535934615,470.849836711665,460.130093322862,453.326561900579,452.918463190045,452.743997538657,443.941996053683,450.552449675005,446.967483851823,462.333513860728,467.374108769778,459.61153665552,461.838445556943
46,Активные клиенты,Муж,14-21,5854372.89743424,5937117.74556893,6008391.9891877,6005256.44877817,5956817.34025298,5943469.85091413,6002874.1454744,6010304.27588962,6052953.0517731,6057026.98969336,6235774.21996849,6399233.09796836,6594620.4871835
47,Активные клиенты,Муж,14-22,145055.70920822,148875.36133953,151532.747251205,153717.187765494,150562.409510943,148710.338081859,145501.989206595,145208.694345257,142731.131203301,141379.254994061,142380.614076009,144290.122767992,145045.128826993
48,Активные клиенты,Муж,22-29,10941696.4492863,10879373.9283383,10891321.9408138,10856011.5189267,10802622.7587897,10748417.0688953,10760748.0110686,10765753.1232644,10811216.0132446,10795516.7179549,10882047.1891985,10933060.0882507,10955236.0455189
49,Активные клиенты,Муж,22-30,1008688.71907984,1016695.75257132,1034078.43695061,1049648.40720583,1035072.5927214,1024876.58722826,1018164.90425848,1020608.84974381,1022002.07122826,1020123.58444759,1023194.73853709,1026447.65483859,1024428.04762748
50,Активные клиенты,Муж,30-39,17353394.0369972,17303488.7172066,17363852.8883867,17457326.5911354,17494825.7789312,17485387.9568633,17518408.249294,17579360.4422346,17720138.0031565,17860685.9992997,18058915.0726786,18210377.3559808,18236207.1089519
51,Активные клиенты,Муж,30-40,1499787.06891513,1515821.59338326,1543833.48733513,1563122.62980813,1547033.15499157,1531941.1016845,1520872.26170425,1536276.30216185,1554804.78302135,1568583.85223266,1589060.24883646,1609057.40601448,1620526.59469231
52,Активные клиенты,Муж,40-54,18283391.3279521,18221122.078351,18296923.2144356,18399051.1050465,18432372.8607567,18410196.4369194,18430263.6488528,18468121.6578585,18612721.8769676,18750832.610808,18957969.9734851,19117236.4384336,19155275.8786868
53,Активные клиенты,Муж,40-55,1161819.14715397,1174412.79100085,1195037.23582605,1211151.11308603,1202538.09516926,1190060.96496249,1182277.40924701,1196888.22237665,1213052.28013213,1227495.47930023,1247299.8911309,1268216.53878658,1281908.11256376
54,Активные клиенты,Муж,55-59,6146956.864776,6100546.78108007,6099796.17069739,6110589.06895139,6097430.20112919,6078900.18522302,6068654.95867256,6052375.70092427,6068739.59388191,6081714.43256125,6109083.60379472,6124579.22883378,6104935.38259016
55,Активные клиенты,Муж,55-60,245854.720855627,247284.448618008,250682.697009205,253608.426852161,251173.335827538,248477.58956528,245549.57522514,247433.23159652,250613.357867588,252676.203814963,256046.290353339,260151.877006747,262105.780160826
56,Активные клиенты,Муж,60-69,9594060.87485755,9559137.47150212,9599483.91781485,9647947.41349279,9687837.98230239,9675980.45495781,9678759.14319981,9673784.03246705,9715288.1408435,9749041.58168255,9815219.63456965,9871913.96500587,9889999.07314978
57,Активные клиенты,Муж,60-70,225426.156759337,227117.361549351,230556.048102868,231592.841725021,228855.74190996,224613.599501469,221362.038117781,223072.878019092,227523.920322292,229292.628964083,232226.327154659,236159.567430343,238390.742519926
58,Активные клиенты,Муж,От 70,4677174.11032423,4665907.0565746,4696436.13766756,4737038.8332676,4815464.27876962,4834561.05681368,4843221.71433549,4846653.74374399,4883750.17450301,4912117.11046368,4951247.02874438,4989899.66494641,5010302.02662285
86,Дебетовые карты. Активные клиенты,Жен,0-13,3529.72876384071,3656.07903443399,3354.50672458851,3194.40421754761,4346.90599135152,4152.46844353831,4120.44746192706,4257.19101701662,4238.92977243364,4298.75357647603,3818.74543201504,3548.28317834892,4321.20585402616
87,Дебетовые карты. Активные клиенты,Жен,0-14,2.99002860130513,2.96038788213278,2.95681509439269,5.8666744123923,5.88413670572117,5.85473167929265,2.92645416330047,1.45197510812299,1.45617649345024,2.91737602746931,5.8772534544287,8.84491029085731,10.3026025130052
88,Дебетовые карты. Активные клиенты,Жен,14-21,4964837.84146613,5027999.74909926,5039744.96604517,5028888.37293642,5049901.45599414,5038688.9320524,5053780.0250014,5068114.75897799,5117432.31387321,5211323.38474857,5348522.50984802,5463344.82658075,5615205.37065781
89,Дебетовые карты. Активные клиенты,Жен,14-22,112202.318278276,114962.222820803,115797.749541701,115743.619482088,112394.366250157,110603.199836437,108831.903878981,108770.35929971,108410.883760877,108697.054719465,111397.461975242,115156.309531817,117539.448470158
90,Дебетовые карты. Активные клиенты,Жен,22-29,9362498.65256498,9269729.35786769,9250356.10580375,9185754.26121486,9240195.26478618,9160300.012275,9128985.96879092,9066595.75517947,9068349.3061968,9057756.77110966,9117142.31646361,9129675.12597489,9112279.55726223
91,Дебетовые карты. Активные клиенты,Жен,22-30,469165.387830789,468818.866566076,471953.519699036,475829.828234505,473216.984215861,471474.223718838,473090.580039154,477638.827617924,482182.266099683,487058.845162029,495850.650129877,504002.152345346,509579.966496466
92,Дебетовые карты. Активные клиенты,Жен,30-39,16255553.6135123,16189937.991917,16232261.41208,16203691.6602776,16417206.2557618,16368702.739454,16402155.1770165,16372949.0190055,16472486.9203831,16551718.304967,16757778.9804052,16872400.5073645,16920991.4237589
93,Дебетовые карты. Активные клиенты,Жен,30-40,686329.67012928,690745.824344101,700054.063340866,709838.270527406,713984.08994056,716202.007913271,722071.837025676,731214.66445074,743877.568443599,757206.406617674,775967.896334766,793625.791516038,806156.569637268
94,Дебетовые карты. Активные клиенты,Жен,40-54,18206324.5187331,18154824.3993735,18224211.5616856,18218520.3204406,18451159.6094525,18393648.0480296,18430360.5729794,18418783.3983259,18557085.1166407,18675834.9928712,18942774.3130383,19105828.8049088,19188064.3887421
95,Дебетовые карты. Активные клиенты,Жен,40-55,582622.023107312,587419.406094021,594841.711837091,604151.597656762,607601.840369474,609414.629448812,613968.620233357,623690.0997938,635970.521749456,649763.82359002,670202.312482231,689705.466357041,704025.399125489
96,Дебетовые карты. Активные клиенты,Жен,55-59,7729161.14377314,7657925.45272532,7642752.00146547,7595636.16179402,7635376.41414626,7571257.04141774,7540415.92887236,7475705.83253703,7477630.84181072,7469171.13106392,7517484.69505747,7528814.17430861,7509929.03461777
97,Дебетовые карты. Активные клиенты,Жен,55-60,122758.614255184,123054.443096613,123880.203602223,124900.031571229,124643.667837292,124003.216967418,124264.559909146,125651.021906748,128035.774363106,129804.270278206,133534.137111347,136622.906807727,139145.477740289
98,Дебетовые карты. Активные клиенты,Жен,60-69,10654506.4563462,10658496.1597762,10736912.6354002,10760551.5404077,10906813.7322121,10886664.2509871,10925208.4167748,10940511.9257728,11043898.8133894,11118753.1112835,11268672.5679272,11376230.7445426,11439368.1254844
99,Дебетовые карты. Активные клиенты,Жен,60-70,114289.358241987,115515.815354762,116807.501896436,118194.422717864,118227.016759703,117694.74358298,117707.839356272,119532.398801117,121663.546027767,123496.903306817,126816.436412935,130721.87749201,134101.617909993
100,Дебетовые карты. Активные клиенты,Жен,От 70,3958495.87523926,3997084.63438292,4066068.71227675,4118544.77101669,4200392.45841323,4214193.41595017,4245762.61888083,4286548.50172776,4349156.50828185,4394975.93130204,4474569.04392102,4546761.51465636,4606292.11176424
104,Дебетовые карты. Активные клиенты,Муж,0-13,5527.06786951254,5555.16786082217,5264.60927556618,5061.00668068836,6743.22066475646,6443.13221306156,6392.83911972988,6533.88798655348,6428.56304208934,6415.30988440502,5850.80581388377,5503.00835262839,6518.60379001426
105,Дебетовые карты. Активные клиенты,Муж,0-14,221.26211649658,205.746957808228,189.236166041132,177.466900974867,179.466169524496,169.787218699487,158.028524818225,136.485660163562,126.687354930171,141.492737332262,139.584769542682,144.466868084003,141.292834464071
106,Дебетовые карты. Активные клиенты,Муж,14-21,5230534.7730067,5262711.14194627,5289836.82195154,5368241.75431545,5449600.56517454,5426583.9336835,5488465.28382848,5489482.29128061,5539885.13256455,5540031.43520361,5732288.05934848,5895406.90107541,6074674.95033138
107,Дебетовые карты. Активные клиенты,Муж,14-22,107872.756863586,110588.249724952,112024.853481256,112480.281840194,109434.645487179,107746.090776942,106340.028158931,107704.609570347,107695.901102593,108166.092282466,110862.631910888,114622.666610935,116347.290179367
108,Дебетовые карты. Активные клиенты,Муж,22-29,9280410.40734476,9175504.65216123,9163450.87495691,9157097.02337892,9272143.18502989,9215136.89286617,9245081.33190321,9242952.65181209,9294842.99798805,9271280.98124816,9371357.03738146,9417052.1579317,9428722.52164882
109,Дебетовые карты. Активные клиенты,Муж,22-30,522825.936124111,521821.651207782,527183.868847197,534405.638905036,533043.944171281,532454.18152451,535072.879217858,542409.985216183,549518.779509809,555513.614958583,566364.467762748,576502.407847788,582191.237207767
110,Дебетовые карты. Активные клиенты,Муж,30-39,14510994.5158234,14485401.4165608,14541168.6767364,14563898.9619384,14787675.501992,14767723.4343856,14826742.4750162,14871017.2553124,15007054.9691405,15117129.2759073,15337379.0586725,15475376.4099578,15513092.2209449
111,Дебетовые карты. Активные клиенты,Муж,30-40,839159.002027789,844375.153487382,858446.212724841,874055.287341885,881242.146834861,887114.798778101,896956.737824513,912794.315547277,930595.799316256,946663.723217559,970225.816137271,991791.584127551,1006751.1841662
112,Дебетовые карты. Активные клиенты,Муж,40-54,15068198.305791,15041023.2964128,15114994.8252901,15149244.9347663,15367891.0990989,15333425.1734339,15377482.1265972,15409768.2632561,15546600.3958467,15660925.2500515,15893542.0837517,16045641.6818989,16099840.1520642
113,Дебетовые карты. Активные клиенты,Муж,40-55,663506.781815518,669253.408319817,680499.1667141,694800.517339841,700219.623151701,704195.416921961,712813.999280075,726061.604792012,740640.488098659,755714.168779623,777199.180933469,797297.903438459,811325.532498079
114,Дебетовые карты. Активные клиенты,Муж,55-59,5020419.48313579,4992765.21252611,4997378.24096516,4991561.65698758,5038227.32876999,5015403.20048093,5011824.91488924,4998081.64358789,5018894.30673792,5027029.82371731,5069560.14394692,5086448.45757017,5078367.66151265
115,Дебетовые карты. Активные клиенты,Муж,55-60,141278.851411668,142104.539118138,143888.971345979,146718.193710916,147324.072769494,147747.08129279,148583.394006173,150267.807889865,152496.627100083,154615.094703819,158224.478873402,161978.316308185,164431.007907921
116,Дебетовые карты. Активные клиенты,Муж,60-69,7429407.7864637,7425757.03306906,7474342.16254169,7482074.94519334,7588343.03842325,7570387.61376337,7590250.5168192,7583644.21009978,7636936.55019418,7675922.65275465,7770416.7054089,7842294.01068546,7877989.50939488
117,Дебетовые карты. Активные клиенты,Муж,60-70,109050.8281325,110524.601385486,112474.289375604,114422.151070696,115245.230484078,115123.052692851,115957.819766618,117654.994986314,119892.835411732,121578.728568756,124494.921298436,127798.634640882,130455.968420748
118,Дебетовые карты. Активные клиенты,Муж,От 70,1914723.12040347,1932209.64601348,1963526.28610316,1983214.61842318,2040675.97987698,2050669.53589152,2067785.6885215,2085782.57047019,2116639.90381953,2140356.26156108,2179492.75408643,2216816.08186643,2246688.53001103
146,Дебетовые карты. Объем транзакций cash,Жен,0-13,33697519.1807221,32217636.3665356,29374933.4707134,31328918.8993335,22101177.6494068,23359512.1975213,24322143.6533047,22495316.8159192,21998947.5618545,37217878.0271066,30977167.3451085,32428906.282046,29152996.5287329
147,Дебетовые карты. Объем транзакций cash,Жен,0-14,747.507150326283,,,,,,,,,,191157.668605293,30220.1101604291,19133.4046670096
148,Дебетовые карты. Объем транзакций cash,Жен,14-21,27662648415.7968,28838848247.817,26966668391.7441,30991699229.1898,21561335478.6685,24364702138.2133,25992888376.8998,27399059779.198,25791418594.4599,28513378723.8937,29331536718.0278,29511937128.8905,29480271921.1013
149,Дебетовые карты. Объем транзакций cash,Жен,14-22,1139208414.70192,1223037805.71298,1085639747.74808,1252557761.79849,861411242.811526,953993085.156596,987023875.198642,1051087831.50062,941823653.644227,992024240.492191,1045521607.94235,1059893089.0063,1017109598.58513
150,Дебетовые карты. Объем транзакций cash,Жен,22-29,112487503767.404,117812853956.014,109481349310.503,127855015335.869,85177506795.061,95269994253.5348,102802432093.747,109529460365.778,104296072752.02,112157979381.95,118129260241.395,113415678459.563,106724049399.897
151,Дебетовые карты. Объем транзакций cash,Жен,22-30,8991472276.00073,9366779839.80692,8886520131.75271,10010422796.5958,6909749695.13309,7831375369.41614,8447500247.62944,8824901091.1556,8005665084.29767,8328285384.0198,8618184353.79281,8503288130.11689,8026306566.50028
152,Дебетовые карты. Объем транзакций cash,Жен,30-39,247674915773.155,262722226360.554,247002117004.375,297046507099.084,190817574552.808,218913070521.243,238747631876.468,258299776146.399,248057574270.195,269432313928.367,282635231877.48,270000442467.759,253906609229.636
153,Дебетовые карты. Объем транзакций cash,Жен,30-40,19207853419.251,20396975192.2926,19682814242.5896,23134958709.7715,15457639966.6016,17884957668.9582,19151995013.4742,20716004787.1373,18880056197.0593,19782723940.3263,20865796967.6492,20639582702.3111,19701135193.9958
154,Дебетовые карты. Объем транзакций cash,Жен,40-54,306202385828.782,327079135930.626,309634364585.88,388608820828.137,236632508914.2,278160673534.655,300589952763.648,323211976444.855,309629205777.363,345236006998.853,358948851165.173,337983113774.63,316633566900.767
155,Дебетовые карты. Объем транзакций cash,Жен,40-55,17302241146.6465,18651193704.33,17836244971.6749,21147632594.4332,14218545127.3781,16499074210.1438,17771078266.0979,18981859393.418,17571780414.9154,18626158717.7146,19838836488.91,19562893180.7443,19034384314.018
156,Дебетовые карты. Объем транзакций cash,Жен,55-59,118148324428.413,125631592000.672,118352905931.563,146004372594.201,89140508983.2253,104228700486.789,111928103964.273,119662258001.013,113335466044.516,123504923713.456,126045241006.502,119327126139.477,112430455875.787
157,Дебетовые карты. Объем транзакций cash,Жен,55-60,3318805289.09265,3595412678.70224,3465210567.55583,4082501604.6545,2709982482.89437,3112552000.44036,3291949799.38363,3552934697.62785,3220682563.09176,3420952800.15132,3723908366.50269,3687414816.5792,3453834768.64954
158,Дебетовые карты. Объем транзакций cash,Жен,60-69,139445034362.212,150376287692.045,143752940045.182,181395052739.432,110768017676.933,133952272544.694,144165244263.679,155485575035.521,146045487065.815,157995689877.859,162553842491.508,155975597801.236,150444845907.583
159,Дебетовые карты. Объем транзакций cash,Жен,60-70,2841452091.67746,3096735519.71173,3060210981.33301,3594534055.85599,2411327014.04315,2839106068.784,3033206724.0894,3215238317.87939,2927388463.15837,3053785682.805,3242892589.74687,3255064955.48902,3129981956.28396
160,Дебетовые карты. Объем транзакций cash,Жен,От 70,45130761942.9527,49165348490.7648,47525230732.2781,58161095043.3144,39090788934.7395,46997812798.2679,50456504559.9429,54784607072.8018,50478057169.2231,54083770015.4068,56279489001.945,55276011852.2968,54450786977.9266
164,Дебетовые карты. Объем транзакций cash,Муж,0-13,119959639.092812,118624470.88913,106916342.6649,118698306.513805,84340098.5949115,90055401.3162033,91220650.1004706,89685374.6838753,77975874.8898405,102104247.593223,96286977.9006881,81028569.4232986,83457738.0442657
165,Дебетовые карты. Объем транзакций cash,Муж,0-14,232923.22804167,133365.474090082,114724.425662436,190813.585263059,159607.208142687,36592.072995579,81940.7165724132,53432.6839789262,101786.736892172,301000.271634146,348080.335838539,330209.984192006,277875.907779339
166,Дебетовые карты. Объем транзакций cash,Муж,14-21,34687846169.4508,37579462879.3809,35807298916.7167,41885520804.9952,27795060323.1852,31709863464.4964,33984716189.0751,35961073275.0027,34054672319.7136,36827019224.5228,37878492637.9918,38757405955.8394,38622233745.6694
167,Дебетовые карты. Объем транзакций cash,Муж,14-22,1730700432.89907,1817395883.28493,1725511497.26023,1899568680.57809,1262032147.94728,1454591227.47413,1513533407.27736,1552418692.18844,1352822742.60835,1462194524.82298,1521409535.43847,1533897014.19801,1538589034.64536
168,Дебетовые карты. Объем транзакций cash,Муж,22-29,167989401126.443,179056906700.993,167780293968.008,194918777986.576,130891318705.795,143178499493.324,154515709221.299,162806660299.474,156210019405.729,165400772975.574,175042389796.977,170728296103.468,165126483271.261
169,Дебетовые карты. Объем транзакций cash,Муж,22-30,15844625625.8993,16801290218.2675,15902164754.8096,18226008396.2457,12299019732.3436,13774372340.788,14788063083.2069,15346795365.5474,13872388241.2928,14264712227.1972,14946373219.4499,14541980422.5617,13835254793.5226
170,Дебетовые карты. Объем транзакций cash,Муж,30-39,373450978526.338,400447786053.656,378080586318.052,448509910495.071,293547185916.486,327455037743.15,358692654294.95,386205048579.175,369820312007.826,393810071258.966,421142239279.474,409961021157.607,395147704518.939
171,Дебетовые карты. Объем транзакций cash,Муж,30-40,44143130380.9164,46790193822.7706,45074395184.3719,54196074288.6809,35387502946.9298,40298690568.8491,44016085413.0451,46849539102.7026,42278952962.1652,43954614400.7384,46908830392.9451,46142072699.6977,44559007278.6233
172,Дебетовые карты. Объем транзакций cash,Муж,40-54,406120668453.295,434594439672.601,411641364312.826,498363416549.095,317995067007.113,359089571089.203,391981086930.518,422520530571.679,400828918729.822,429351334142.505,459347005820.144,450310396822.186,430143356812.221
173,Дебетовые карты. Объем транзакций cash,Муж,40-55,37096113275.8481,39737832249.646,37743867929.8072,45863137737.2921,30528450768.7125,34576662637.7507,37899320650.0106,40450643852.4284,36705597036.4713,38939794598.0328,41696951528.4766,41026770707.5935,40235373205.7268
174,Дебетовые карты. Объем транзакций cash,Муж,55-59,114576176050.992,121967726251.196,115877611831.96,143554142901.538,89658502248.1657,102790827619.362,112010274666.142,119043417823.26,111995791167.637,118621993021.1,125435262572.918,123520147199.7,116317660920.057
