""," Активные клиенты Total"," Активные клиенты Дебетовые карты"," Объем транзакций cash Дебетовые карты"," Объем транзакций pos Дебетовые карты"," Объем транзакций cash+pos Дебетовые карты"," Остатки на конец месяца Дебетовые карты"," Количество транзакций cash Дебетовые карты"," Количество транзакций pos Дебетовые карты"," Количество транзакций cash+pos Дебетовые карты"," Активные клиенты Кредитные карты"," Объем транзакций cash Кредитные карты"," Объем транзакций pos Кредитные карты"," Объем транзакций cash+pos Кредитные карты"," Остатки на конец месяца Кредитные карты"," Количество транзакций cash Кредитные карты"," Количество транзакций pos Кредитные карты"," Количество транзакций cash+pos Кредитные карты"," Активные клиенты Текущие счета рубли/валюта"," Остатки на конец месяца Текущие счета рубли/валюта"," Активные клиенты Накопительные счета рубли/валюта"," Остатки на конец месяца Накопительные счета рубли/валюта"," Активные клиенты Срочные вклады рубли/валюта"," Остатки на конец месяца Срочные вклады рубли/валюта"," Активные клиенты Ипотека"," Портфель Ипотека"," Выдачи Ипотека"," Активные клиенты Кредиты наличными"," Портфель Кредиты наличными"," Выдачи Кредиты наличными"," Активные клиенты POS"," Портфель POS"," Выдачи POS"," Активные клиенты Авто"," Портфель Авто"," Выдачи Авто"
"(Intercept)","-2259423.89730176","-3805532.04184176","-113135129293.302","-64226620283.7832","-177361749577.086","-239189569160.974","-9104421.8375058","-70012092.922885","-79116514.7603907","-1526065.28838973","-3329495390.02005","-17123737235.4203","-20467858759.5954","-81491859007.287","-241469.355649293","-15895097.247065","-16135773.0374222","1026445.93129316","78020209801.9422","-1233.25524891847","512504211.353462","308360.628292121","-457814431059.644","-249532.609540839","-315461123881.788","-2354650718.48678","-1165537.36637852","-388469339690.202","-45397318867.8216","319752.925356052","8199305778.01858","1675668696.46716","-275512.934004865","-153003223269.34","-16169366684.4748"
"(Intercept)","","*","**","***","***","***","**","*","**","*","**","**","**","*","***","**","**","","","","","","","","","","***","**","***",".",".","***","**","*","*"
"sex","-2248585.68579219","-1530708.02467134","33706554721.4043","223987785.025705","33930542506.4298","9233909321.29406","-2691948.12649835","-26569361.7297366","-29261309.8562345","-429452.400427839","691487422.799627","1257576653.27321","1949046319.24201","-4959524216.6519","-28344.9740290526","-1892457.09186158","-1920801.30159615","-1117535.90726001","-52792488209.4425","127.750622144998","907308615.29791","-1044802.00064047","-217115337899.866","47326.8124081295","92790268762.4955","1705220241.37557","-259205.818800783","31043954762.4448","-3478904814.11538","-86524.3080674836","-1768572999.43091","-320091890.528735","70539.8001352723","35750246494.6111","2419869404.05291"
"sex","","","","","","","","","","","","","","","","","","*","","","","**","","","","","","","","","","",".","",""
"age","503812.614260797","592384.146049009","10997502611.3248","6164236620.2024","17161739231.5273","20794308355.7177","1573334.38217045","10541946.017602","12115280.3997725","133827.433731407","266600694.379555","1126190154.5665","1393184335.99463","5707243668.52327","20500.7782540151","1057341.39426519","1077820.8259004","-31673.5377691306","-6063513800.52396","-114.325470985392","-182330984.679869","17834.5499812029","37098249382.6738","16204.9412524996","17779992385.3545","820650765.179856","113117.509395427","25824287519.7626","2859263585.62642","1022.26521205705","-11782478.3281858","4502693.46061301","13887.0192034206","7214883293.14476","969797857.930549"
"age","***","***","***","***","***","***","***","***","***","**","***","***","***","**","***","***","***","","","","","","",".","","","**","***","***","","","","**","**","**"
"age_sq","-4586.26266778375","-6357.34934861266","-112831608.603712","-68551796.2976063","-181383404.901319","-199298308.669093","-16964.6735754481","-126984.441043597","-143949.114619046","-1415.55787908434","-2791423.49702928","-11935656.728148","-14730922.3795309","-60262869.9120233","-214.872430925078","-11278.3255649456","-11492.9895595202","1186.30076813137","148091422.244432","3.07327097435925","3307373.46151006","326.001891501533","-95469770.3663377","-178.377288269825","-199856075.479633","-8979450.05592522","-1204.13186631094","-276127523.852074","-29545542.261833","-61.8110602315512","-1275068.03807531","-237258.238461475","-141.905868130057","-73361889.5163673","-11474193.9094393"
"age_sq","*","***","***","***","***","***","***","***","***","**","***","***","***","**","***","**","**","",".","","","","","","","","**","**","***","","","","**","**","**"
"inc","7760593.30641418","5554997.77007233","146397917050.566","136072083413.834","282470000464.398","86901243276.2881","13718837.1899923","189472735.384535","203191572.574527","2015896.7006482","4077922181.91817","24234642964.4728","28312416710.398","104881871321.146","254071.364394894","22556804.480778","22810883.8978052","1558866.72053914","128467189320.774","10865.2650823692","5017689084.09409","407467.732114044","142826957428.316","666954.418468236","924020155822.13","30453360142.4257","1296421.27004587","477509605203.622","29146964999.6048","910033.679376208","21609794193.3698","2610636906.00913","148335.863010851","81100054751.4799","2943220572.72885"
"inc","***","**","**","***","***","","**","***","***","**","**","***","***","**","**","***","***","*","*","***","***","","","***","***","***","*","***","***","***","***","***","**","**","."
"year","128595.780896652","217834.033562434","-10543225633.5075","7009808001.86961","-3533417631.63793","4879163247.05008","-1080467.69961178","22799900.2493275","21719432.5497159","103634.457865442","-153593135.211039","1431205467.76477","1281087862.62772","7738655670.33797","7641.43602278193","2603954.03765418","2611406.92664368","-94339.4985726226","2288382073.29362","792.205760927657","68760939.4475156","28844.4224896778","51872163534.6617","16288.5344014933","35016614587.6801","-5942362018.08365","10069.8199683397","36376839795.0492","177575477.285945","57404.7642371912","1562910701.47345","-175191435.873505","-2542.15981086887","3152047807.86681","-79517983.7587711"
"year","***","***","***","***","","","***","***","***","***","**","***","***","***","*","***","***","***",".","***","","***","***","***","***","***","*","***","","***","***","**","***","***",""
