pok,type,sex,age,date,value
 Активные клиенты,Total,0,7.0,01-09-2018,369393.173159405
 Активные клиенты,Total,0,7.0,01-10-2018,366166.675359005
 Активные клиенты,Total,0,7.0,01-11-2018,369425.662370421
 Активные клиенты,Total,0,7.0,01-12-2018,372573.015444857
 Активные клиенты,Total,0,7.0,01-01-2019,379498.767975839
 Активные клиенты,Total,0,7.0,01-02-2019,377819.247339534
 Активные клиенты,Total,0,7.0,01-03-2019,375011.239153269
 Активные клиенты,Total,0,7.0,01-04-2019,373593.73108551704
 Активные клиенты,Total,0,7.0,01-05-2019,373223.672696843
 Активные клиенты,Total,0,7.0,01-06-2019,373615.067021144
 Активные клиенты,Total,0,7.0,01-07-2019,375330.711794092
 Активные клиенты,Total,0,7.0,01-08-2019,375501.157040095
 Активные клиенты,Total,0,7.0,01-09-2019,374534.85165493103
 Активные клиенты,Total,0,18.0,01-09-2018,5466236.11253557
 Активные клиенты,Total,0,18.0,01-10-2018,5528261.17548332
 Активные клиенты,Total,0,18.0,01-11-2018,5543074.03931743
 Активные клиенты,Total,0,18.0,01-12-2018,5528392.00190872
 Активные клиенты,Total,0,18.0,01-01-2019,5514931.61904492
 Активные клиенты,Total,0,18.0,01-02-2019,5510734.21713766
 Активные клиенты,Total,0,18.0,01-03-2019,5524139.65581553
 Активные клиенты,Total,0,18.0,01-04-2019,5546088.45982947
 Активные клиенты,Total,0,18.0,01-05-2019,5590427.60527489
 Активные клиенты,Total,0,18.0,01-06-2019,5686148.00365645
 Активные клиенты,Total,0,18.0,01-07-2019,5813943.4471583
 Активные клиенты,Total,0,18.0,01-08-2019,5928298.6713475
 Активные клиенты,Total,0,18.0,01-09-2019,6097207.28593451
 Активные клиенты,Total,0,26.0,01-09-2018,10672000.2458717
 Активные клиенты,Total,0,26.0,01-10-2018,10571811.8721868
 Активные клиенты,Total,0,26.0,01-11-2018,10544605.830142
 Активные клиенты,Total,0,26.0,01-12-2018,10497918.6312752
 Активные клиенты,Total,0,26.0,01-01-2019,10463035.0485297
 Активные клиенты,Total,0,26.0,01-02-2019,10382927.0629338
 Активные клиенты,Total,0,26.0,01-03-2019,10335064.5899381
 Активные клиенты,Total,0,26.0,01-04-2019,10285706.9288757
 Активные клиенты,Total,0,26.0,01-05-2019,10282909.1828526
 Активные клиенты,Total,0,26.0,01-06-2019,10274129.9423395
 Активные клиенты,Total,0,26.0,01-07-2019,10322393.798714802
 Активные клиенты,Total,0,26.0,01-08-2019,10336402.082853802
 Активные клиенты,Total,0,26.0,01-09-2019,10335256.7854343
 Активные клиенты,Total,0,35.0,01-09-2018,18989984.1083296
 Активные клиенты,Total,0,35.0,01-10-2018,18895045.0354192
 Активные клиенты,Total,0,35.0,01-11-2018,18930038.701820802
 Активные клиенты,Total,0,35.0,01-12-2018,18955230.1521235
 Активные клиенты,Total,0,35.0,01-01-2019,19002660.2334014
 Активные клиенты,Total,0,35.0,01-02-2019,18954346.5266321
 Активные клиенты,Total,0,35.0,01-03-2019,18961879.8081205
 Активные клиенты,Total,0,35.0,01-04-2019,18951773.7252396
 Активные клиенты,Total,0,35.0,01-05-2019,19051031.00373
 Активные клиенты,Total,0,35.0,01-06-2019,19141176.275318105
 Активные клиенты,Total,0,35.0,01-07-2019,19321337.9592663
 Активные клиенты,Total,0,35.0,01-08-2019,19437896.9818651
 Активные клиенты,Total,0,35.0,01-09-2019,19481276.6412519
 Активные клиенты,Total,0,47.0,01-09-2018,21952545.6571481
 Активные клиенты,Total,0,47.0,01-10-2018,21845725.5927632
 Активные клиенты,Total,0,47.0,01-11-2018,21903888.896250304
 Активные клиенты,Total,0,47.0,01-12-2018,21938393.850054
 Активные клиенты,Total,0,47.0,01-01-2019,21984908.450176198
 Активные клиенты,Total,0,47.0,01-02-2019,21929286.4414524
 Активные клиенты,Total,0,47.0,01-03-2019,21944203.2794914
 Активные клиенты,Total,0,47.0,01-04-2019,21921620.718567397
 Активные клиенты,Total,0,47.0,01-05-2019,22068118.300615303
 Активные клиенты,Total,0,47.0,01-06-2019,22203908.284051802
 Активные клиенты,Total,0,47.0,01-07-2019,22440666.0173257
 Активные клиенты,Total,0,47.0,01-08-2019,22606773.1547659
 Активные клиенты,Total,0,47.0,01-09-2019,22670061.4478299
 Активные клиенты,Total,0,57.0,01-09-2018,9043618.38434903
 Активные клиенты,Total,0,57.0,01-10-2018,8949333.96235388
 Активные клиенты,Total,0,57.0,01-11-2018,8924132.01601676
 Активные клиенты,Total,0,57.0,01-12-2018,8892882.30495994
 Активные клиенты,Total,0,57.0,01-01-2019,8862762.72065793
 Активные клиенты,Total,0,57.0,01-02-2019,8800445.12647895
 Активные клиенты,Total,0,57.0,01-03-2019,8761773.58498272
 Активные клиенты,Total,0,57.0,01-04-2019,8689652.49040693
 Активные клиенты,Total,0,57.0,01-05-2019,8688651.87580058
 Активные клиенты,Total,0,57.0,01-06-2019,8685603.03500105
 Активные клиенты,Total,0,57.0,01-07-2019,8712931.71770081
 Активные клиенты,Total,0,57.0,01-08-2019,8720885.15239925
 Активные клиенты,Total,0,57.0,01-09-2019,8688808.59163901
 Активные клиенты,Total,0,65.0,01-09-2018,14568621.660034198
 Активные клиенты,Total,0,65.0,01-10-2018,14507482.3312225
 Активные клиенты,Total,0,65.0,01-11-2018,14560921.1777599
 Активные клиенты,Total,0,65.0,01-12-2018,14603372.662096601
 Активные клиенты,Total,0,65.0,01-01-2019,14667030.0868819
 Активные клиенты,Total,0,65.0,01-02-2019,14645792.208945902
 Активные клиенты,Total,0,65.0,01-03-2019,14657275.101503698
 Активные клиенты,Total,0,65.0,01-04-2019,14647109.8707397
 Активные клиенты,Total,0,65.0,01-05-2019,14718835.792459803
 Активные клиенты,Total,0,65.0,01-06-2019,14777255.450412301
 Активные клиенты,Total,0,65.0,01-07-2019,14875232.9696236
 Активные клиенты,Total,0,65.0,01-08-2019,14953709.505949
 Активные клиенты,Total,0,65.0,01-09-2019,14980386.8185398
 Активные клиенты,Total,0,77.0,01-09-2018,10792287.452078098
 Активные клиенты,Total,0,77.0,01-10-2018,10764992.7317551
 Активные клиенты,Total,0,77.0,01-11-2018,10837473.4893173
 Активные клиенты,Total,0,77.0,01-12-2018,10915879.871972501
 Активные клиенты,Total,0,77.0,01-01-2019,11034816.026074
 Активные клиенты,Total,0,77.0,01-02-2019,11066710.70381
 Активные клиенты,Total,0,77.0,01-03-2019,11084638.745242098
 Активные клиенты,Total,0,77.0,01-04-2019,11089023.0525112
 Активные клиенты,Total,0,77.0,01-05-2019,11145739.8726246
 Активные клиенты,Total,0,77.0,01-06-2019,11196970.971451
 Активные клиенты,Total,0,77.0,01-07-2019,11260992.3584419
 Активные клиенты,Total,0,77.0,01-08-2019,11329571.2193051
 Активные клиенты,Total,0,77.0,01-09-2019,11357419.625447901
 Активные клиенты,Total,1,7.0,01-09-2018,381084.013369015
 Активные клиенты,Total,1,7.0,01-10-2018,377998.248912125
 Активные клиенты,Total,1,7.0,01-11-2018,381563.98243613
 Активные клиенты,Total,1,7.0,01-12-2018,384126.53105458204
 Активные клиенты,Total,1,7.0,01-01-2019,391342.072773819
 Активные клиенты,Total,1,7.0,01-02-2019,389660.69357193203
 Активные клиенты,Total,1,7.0,01-03-2019,386619.446148765
 Активные клиенты,Total,1,7.0,01-04-2019,384912.771337353
 Активные клиенты,Total,1,7.0,01-05-2019,384369.74139028206
 Активные клиенты,Total,1,7.0,01-06-2019,384288.11640421295
 Активные клиенты,Total,1,7.0,01-07-2019,385879.594499868
 Активные клиенты,Total,1,7.0,01-08-2019,386354.15661652
 Активные клиенты,Total,1,7.0,01-09-2019,385811.040495498
 Активные клиенты,Total,1,18.0,01-09-2018,5854372.89743424
 Активные клиенты,Total,1,18.0,01-10-2018,5937117.74556893
 Активные клиенты,Total,1,18.0,01-11-2018,6008391.9891877
 Активные клиенты,Total,1,18.0,01-12-2018,6005256.44877817
 Активные клиенты,Total,1,18.0,01-01-2019,5956817.34025298
 Активные клиенты,Total,1,18.0,01-02-2019,5943469.85091413
 Активные клиенты,Total,1,18.0,01-03-2019,6002874.1454744
 Активные клиенты,Total,1,18.0,01-04-2019,6010304.27588962
 Активные клиенты,Total,1,18.0,01-05-2019,6052953.051773099
 Активные клиенты,Total,1,18.0,01-06-2019,6057026.98969336
 Активные клиенты,Total,1,18.0,01-07-2019,6235774.21996849
 Активные клиенты,Total,1,18.0,01-08-2019,6399233.09796836
 Активные клиенты,Total,1,18.0,01-09-2019,6594620.4871835
 Активные клиенты,Total,1,26.0,01-09-2018,10941696.4492863
 Активные клиенты,Total,1,26.0,01-10-2018,10879373.9283383
 Активные клиенты,Total,1,26.0,01-11-2018,10891321.9408138
 Активные клиенты,Total,1,26.0,01-12-2018,10856011.5189267
 Активные клиенты,Total,1,26.0,01-01-2019,10802622.7587897
 Активные клиенты,Total,1,26.0,01-02-2019,10748417.0688953
 Активные клиенты,Total,1,26.0,01-03-2019,10760748.0110686
 Активные клиенты,Total,1,26.0,01-04-2019,10765753.1232644
 Активные клиенты,Total,1,26.0,01-05-2019,10811216.0132446
 Активные клиенты,Total,1,26.0,01-06-2019,10795516.717954902
 Активные клиенты,Total,1,26.0,01-07-2019,10882047.1891985
 Активные клиенты,Total,1,26.0,01-08-2019,10933060.088250699
 Активные клиенты,Total,1,26.0,01-09-2019,10955236.045518901
 Активные клиенты,Total,1,35.0,01-09-2018,17353394.0369972
 Активные клиенты,Total,1,35.0,01-10-2018,17303488.7172066
 Активные клиенты,Total,1,35.0,01-11-2018,17363852.8883867
 Активные клиенты,Total,1,35.0,01-12-2018,17457326.5911354
 Активные клиенты,Total,1,35.0,01-01-2019,17494825.778931197
 Активные клиенты,Total,1,35.0,01-02-2019,17485387.9568633
 Активные клиенты,Total,1,35.0,01-03-2019,17518408.249294
 Активные клиенты,Total,1,35.0,01-04-2019,17579360.4422346
 Активные клиенты,Total,1,35.0,01-05-2019,17720138.0031565
 Активные клиенты,Total,1,35.0,01-06-2019,17860685.999299698
 Активные клиенты,Total,1,35.0,01-07-2019,18058915.0726786
 Активные клиенты,Total,1,35.0,01-08-2019,18210377.355980802
 Активные клиенты,Total,1,35.0,01-09-2019,18236207.108951896
 Активные клиенты,Total,1,47.0,01-09-2018,18283391.3279521
 Активные клиенты,Total,1,47.0,01-10-2018,18221122.078351002
 Активные клиенты,Total,1,47.0,01-11-2018,18296923.214435603
 Активные клиенты,Total,1,47.0,01-12-2018,18399051.1050465
 Активные клиенты,Total,1,47.0,01-01-2019,18432372.8607567
 Активные клиенты,Total,1,47.0,01-02-2019,18410196.4369194
 Активные клиенты,Total,1,47.0,01-03-2019,18430263.648852803
 Активные клиенты,Total,1,47.0,01-04-2019,18468121.6578585
 Активные клиенты,Total,1,47.0,01-05-2019,18612721.8769676
 Активные клиенты,Total,1,47.0,01-06-2019,18750832.610808
 Активные клиенты,Total,1,47.0,01-07-2019,18957969.9734851
 Активные клиенты,Total,1,47.0,01-08-2019,19117236.438433602
 Активные клиенты,Total,1,47.0,01-09-2019,19155275.8786868
 Активные клиенты,Total,1,57.0,01-09-2018,6146956.864776
 Активные клиенты,Total,1,57.0,01-10-2018,6100546.78108007
 Активные клиенты,Total,1,57.0,01-11-2018,6099796.17069739
 Активные клиенты,Total,1,57.0,01-12-2018,6110589.06895139
 Активные клиенты,Total,1,57.0,01-01-2019,6097430.20112919
 Активные клиенты,Total,1,57.0,01-02-2019,6078900.18522302
 Активные клиенты,Total,1,57.0,01-03-2019,6068654.95867256
 Активные клиенты,Total,1,57.0,01-04-2019,6052375.70092427
 Активные клиенты,Total,1,57.0,01-05-2019,6068739.59388191
 Активные клиенты,Total,1,57.0,01-06-2019,6081714.43256125
 Активные клиенты,Total,1,57.0,01-07-2019,6109083.60379472
 Активные клиенты,Total,1,57.0,01-08-2019,6124579.22883378
 Активные клиенты,Total,1,57.0,01-09-2019,6104935.38259016
 Активные клиенты,Total,1,65.0,01-09-2018,9594060.87485755
 Активные клиенты,Total,1,65.0,01-10-2018,9559137.47150212
 Активные клиенты,Total,1,65.0,01-11-2018,9599483.91781485
 Активные клиенты,Total,1,65.0,01-12-2018,9647947.41349279
 Активные клиенты,Total,1,65.0,01-01-2019,9687837.98230239
 Активные клиенты,Total,1,65.0,01-02-2019,9675980.45495781
 Активные клиенты,Total,1,65.0,01-03-2019,9678759.14319981
 Активные клиенты,Total,1,65.0,01-04-2019,9673784.03246705
 Активные клиенты,Total,1,65.0,01-05-2019,9715288.1408435
 Активные клиенты,Total,1,65.0,01-06-2019,9749041.58168255
 Активные клиенты,Total,1,65.0,01-07-2019,9815219.63456965
 Активные клиенты,Total,1,65.0,01-08-2019,9871913.96500587
 Активные клиенты,Total,1,65.0,01-09-2019,9889999.07314978
 Активные клиенты,Total,1,77.0,01-09-2018,4677174.11032423
 Активные клиенты,Total,1,77.0,01-10-2018,4665907.0565746
 Активные клиенты,Total,1,77.0,01-11-2018,4696436.13766756
 Активные клиенты,Total,1,77.0,01-12-2018,4737038.833267599
 Активные клиенты,Total,1,77.0,01-01-2019,4815464.27876962
 Активные клиенты,Total,1,77.0,01-02-2019,4834561.05681368
 Активные клиенты,Total,1,77.0,01-03-2019,4843221.71433549
 Активные клиенты,Total,1,77.0,01-04-2019,4846653.74374399
 Активные клиенты,Total,1,77.0,01-05-2019,4883750.17450301
 Активные клиенты,Total,1,77.0,01-06-2019,4912117.11046368
 Активные клиенты,Total,1,77.0,01-07-2019,4951247.02874438
 Активные клиенты,Total,1,77.0,01-08-2019,4989899.66494641
 Активные клиенты,Total,1,77.0,01-09-2019,5010302.02662285
 Активные клиенты,Дебетовые карты,0,7.0,01-09-2018,3529.7287638407106
 Активные клиенты,Дебетовые карты,0,7.0,01-10-2018,3656.07903443399
 Активные клиенты,Дебетовые карты,0,7.0,01-11-2018,3354.50672458851
 Активные клиенты,Дебетовые карты,0,7.0,01-12-2018,3194.4042175476097
 Активные клиенты,Дебетовые карты,0,7.0,01-01-2019,4346.90599135152
 Активные клиенты,Дебетовые карты,0,7.0,01-02-2019,4152.46844353831
 Активные клиенты,Дебетовые карты,0,7.0,01-03-2019,4120.4474619270595
 Активные клиенты,Дебетовые карты,0,7.0,01-04-2019,4257.19101701662
 Активные клиенты,Дебетовые карты,0,7.0,01-05-2019,4238.92977243364
 Активные клиенты,Дебетовые карты,0,7.0,01-06-2019,4298.75357647603
 Активные клиенты,Дебетовые карты,0,7.0,01-07-2019,3818.7454320150396
 Активные клиенты,Дебетовые карты,0,7.0,01-08-2019,3548.2831783489205
 Активные клиенты,Дебетовые карты,0,7.0,01-09-2019,4321.2058540261605
 Активные клиенты,Дебетовые карты,0,18.0,01-09-2018,4964837.84146613
 Активные клиенты,Дебетовые карты,0,18.0,01-10-2018,5027999.74909926
 Активные клиенты,Дебетовые карты,0,18.0,01-11-2018,5039744.96604517
 Активные клиенты,Дебетовые карты,0,18.0,01-12-2018,5028888.37293642
 Активные клиенты,Дебетовые карты,0,18.0,01-01-2019,5049901.45599414
 Активные клиенты,Дебетовые карты,0,18.0,01-02-2019,5038688.9320524
 Активные клиенты,Дебетовые карты,0,18.0,01-03-2019,5053780.025001401
 Активные клиенты,Дебетовые карты,0,18.0,01-04-2019,5068114.75897799
 Активные клиенты,Дебетовые карты,0,18.0,01-05-2019,5117432.31387321
 Активные клиенты,Дебетовые карты,0,18.0,01-06-2019,5211323.38474857
 Активные клиенты,Дебетовые карты,0,18.0,01-07-2019,5348522.50984802
 Активные клиенты,Дебетовые карты,0,18.0,01-08-2019,5463344.82658075
 Активные клиенты,Дебетовые карты,0,18.0,01-09-2019,5615205.37065781
 Активные клиенты,Дебетовые карты,0,26.0,01-09-2018,9362498.65256498
 Активные клиенты,Дебетовые карты,0,26.0,01-10-2018,9269729.35786769
 Активные клиенты,Дебетовые карты,0,26.0,01-11-2018,9250356.10580375
 Активные клиенты,Дебетовые карты,0,26.0,01-12-2018,9185754.26121486
 Активные клиенты,Дебетовые карты,0,26.0,01-01-2019,9240195.26478618
 Активные клиенты,Дебетовые карты,0,26.0,01-02-2019,9160300.012275
 Активные клиенты,Дебетовые карты,0,26.0,01-03-2019,9128985.96879092
 Активные клиенты,Дебетовые карты,0,26.0,01-04-2019,9066595.75517947
 Активные клиенты,Дебетовые карты,0,26.0,01-05-2019,9068349.3061968
 Активные клиенты,Дебетовые карты,0,26.0,01-06-2019,9057756.77110966
 Активные клиенты,Дебетовые карты,0,26.0,01-07-2019,9117142.31646361
 Активные клиенты,Дебетовые карты,0,26.0,01-08-2019,9129675.12597489
 Активные клиенты,Дебетовые карты,0,26.0,01-09-2019,9112279.55726223
 Активные клиенты,Дебетовые карты,0,35.0,01-09-2018,16255553.613512302
 Активные клиенты,Дебетовые карты,0,35.0,01-10-2018,16189937.991917001
 Активные клиенты,Дебетовые карты,0,35.0,01-11-2018,16232261.41208
 Активные клиенты,Дебетовые карты,0,35.0,01-12-2018,16203691.6602776
 Активные клиенты,Дебетовые карты,0,35.0,01-01-2019,16417206.2557618
 Активные клиенты,Дебетовые карты,0,35.0,01-02-2019,16368702.739454001
 Активные клиенты,Дебетовые карты,0,35.0,01-03-2019,16402155.1770165
 Активные клиенты,Дебетовые карты,0,35.0,01-04-2019,16372949.0190055
 Активные клиенты,Дебетовые карты,0,35.0,01-05-2019,16472486.9203831
 Активные клиенты,Дебетовые карты,0,35.0,01-06-2019,16551718.304967001
 Активные клиенты,Дебетовые карты,0,35.0,01-07-2019,16757778.9804052
 Активные клиенты,Дебетовые карты,0,35.0,01-08-2019,16872400.5073645
 Активные клиенты,Дебетовые карты,0,35.0,01-09-2019,16920991.423758898
 Активные клиенты,Дебетовые карты,0,47.0,01-09-2018,18206324.518733103
 Активные клиенты,Дебетовые карты,0,47.0,01-10-2018,18154824.399373498
 Активные клиенты,Дебетовые карты,0,47.0,01-11-2018,18224211.561685603
 Активные клиенты,Дебетовые карты,0,47.0,01-12-2018,18218520.3204406
 Активные клиенты,Дебетовые карты,0,47.0,01-01-2019,18451159.6094525
 Активные клиенты,Дебетовые карты,0,47.0,01-02-2019,18393648.0480296
 Активные клиенты,Дебетовые карты,0,47.0,01-03-2019,18430360.572979398
 Активные клиенты,Дебетовые карты,0,47.0,01-04-2019,18418783.398325898
 Активные клиенты,Дебетовые карты,0,47.0,01-05-2019,18557085.1166407
 Активные клиенты,Дебетовые карты,0,47.0,01-06-2019,18675834.9928712
 Активные клиенты,Дебетовые карты,0,47.0,01-07-2019,18942774.3130383
 Активные клиенты,Дебетовые карты,0,47.0,01-08-2019,19105828.8049088
 Активные клиенты,Дебетовые карты,0,47.0,01-09-2019,19188064.3887421
