,date,pok,type,sex,age,value,year,age_sq,inc
0,2018-01-09, Активные клиенты,Total,0,7.0,369393.173159405,2018,49.0,0
1,2018-01-10, Активные клиенты,Total,0,7.0,366166.675359005,2018,49.0,0
2,2018-01-11, Активные клиенты,Total,0,7.0,369425.662370421,2018,49.0,0
3,2018-01-12, Активные клиенты,Total,0,7.0,372573.015444857,2018,49.0,0
4,2019-01-01, Активные клиенты,Total,0,7.0,379498.767975839,2019,49.0,0
5,2019-01-02, Активные клиенты,Total,0,7.0,377819.247339534,2019,49.0,0
6,2019-01-03, Активные клиенты,Total,0,7.0,375011.239153269,2019,49.0,0
7,2019-01-04, Активные клиенты,Total,0,7.0,373593.73108551704,2019,49.0,0
8,2019-01-05, Активные клиенты,Total,0,7.0,373223.672696843,2019,49.0,0
9,2019-01-06, Активные клиенты,Total,0,7.0,373615.067021144,2019,49.0,0
10,2019-01-07, Активные клиенты,Total,0,7.0,375330.711794092,2019,49.0,0
11,2019-01-08, Активные клиенты,Total,0,7.0,375501.157040095,2019,49.0,0
12,2019-01-09, Активные клиенты,Total,0,7.0,374534.85165493103,2019,49.0,0
13,2018-01-09, Активные клиенты,Total,0,18.0,5466236.11253557,2018,324.0,0
14,2018-01-10, Активные клиенты,Total,0,18.0,5528261.17548332,2018,324.0,0
15,2018-01-11, Активные клиенты,Total,0,18.0,5543074.03931743,2018,324.0,0
16,2018-01-12, Активные клиенты,Total,0,18.0,5528392.00190872,2018,324.0,0
17,2019-01-01, Активные клиенты,Total,0,18.0,5514931.61904492,2019,324.0,0
18,2019-01-02, Активные клиенты,Total,0,18.0,5510734.21713766,2019,324.0,0
19,2019-01-03, Активные клиенты,Total,0,18.0,5524139.65581553,2019,324.0,0
20,2019-01-04, Активные клиенты,Total,0,18.0,5546088.45982947,2019,324.0,0
21,2019-01-05, Активные клиенты,Total,0,18.0,5590427.60527489,2019,324.0,0
22,2019-01-06, Активные клиенты,Total,0,18.0,5686148.00365645,2019,324.0,0
23,2019-01-07, Активные клиенты,Total,0,18.0,5813943.4471583,2019,324.0,0
24,2019-01-08, Активные клиенты,Total,0,18.0,5928298.6713475,2019,324.0,0
25,2019-01-09, Активные клиенты,Total,0,18.0,6097207.28593451,2019,324.0,0
26,2018-01-09, Активные клиенты,Total,0,26.0,10672000.2458717,2018,676.0,1
27,2018-01-10, Активные клиенты,Total,0,26.0,10571811.8721868,2018,676.0,1
28,2018-01-11, Активные клиенты,Total,0,26.0,10544605.830142,2018,676.0,1
29,2018-01-12, Активные клиенты,Total,0,26.0,10497918.6312752,2018,676.0,1
30,2019-01-01, Активные клиенты,Total,0,26.0,10463035.0485297,2019,676.0,1
31,2019-01-02, Активные клиенты,Total,0,26.0,10382927.0629338,2019,676.0,1
32,2019-01-03, Активные клиенты,Total,0,26.0,10335064.5899381,2019,676.0,1
33,2019-01-04, Активные клиенты,Total,0,26.0,10285706.9288757,2019,676.0,1
34,2019-01-05, Активные клиенты,Total,0,26.0,10282909.1828526,2019,676.0,1
35,2019-01-06, Активные клиенты,Total,0,26.0,10274129.9423395,2019,676.0,1
36,2019-01-07, Активные клиенты,Total,0,26.0,10322393.798714802,2019,676.0,1
37,2019-01-08, Активные клиенты,Total,0,26.0,10336402.082853803,2019,676.0,1
38,2019-01-09, Активные клиенты,Total,0,26.0,10335256.7854343,2019,676.0,1
