,year,otrasl,TR,TR10,TR50,TR100,TR10%,CR(10),CR(50),CR(100),CR10%,IHH,MA,real_prices,real_gdp_change,market_type,type_1,type_2,type_3,type_4
0,2013,ДОБЫЧА,12128094519110.0,6897734823000,10021979664000,10917975429000,11332003071000,0.568740193451772,0.826344125881322,0.9002218288946191,0.934359725935874,985.8810146589959,16702.87,16702.870619999998,1289.14939999999,3,0,0,1,0
1,2014,ДОБЫЧА,13632283985512.0,7870674895000,11274710723000,12296084533000,12742057761000,0.577355555632844,0.827059554729233,0.9019827158873679,0.934697206612032,1112.47280379388,8834.03,8217.708986046511,408.890697674433,4,0,0,0,1
2,2015,ДОБЫЧА,14367111995816.0,7706976156000,11645533807000,12794578175000,13311848403000,0.536431828348274,0.810568874968847,0.8905462822817869,0.926550054518729,842.981755402188,6636.37,5716.084151593454,-1971.47286821707,3,0,0,1,0
3,2016,ДОБЫЧА,14628822995000.0,7647183873000,11684568749000,12929957474000,13479545832000,0.52274772041563,0.7987360810226279,0.883868611878027,0.9214374824691759,842.6931800875601,33116.52,27747.21478197047,497.07216038770304,3,0,0,1,0
4,2017,ДОБЫЧА,17366227495000.0,9182911407000,13845695452000,15331338131000,16019846244000,0.52877986365455,0.79727709751507,0.882824904569178,0.92247128794163,906.929964815256,8821.01,7018.831843871419,1216.0974474312,3,0,0,1,0
5,2013,IT,669093900102.0,150843772000,278656460034,350202574034,499589016034,0.225444847093965,0.416468391045742,0.5233982464652771,0.7466650285674999,86.41889244442201,34351.51,34351.51085,1289.14939999999,0,0,0,0,0
6,2014,IT,752010090419.0,165284287000,314178600034,392496577034,560714736750,0.21978998567413896,0.417785085648183,0.5219299342317489,0.745621294040862,91.33739283222671,51898.21,48277.40939534883,408.890697674433,0,0,0,0,0
7,2015,IT,851527847494.0,197416903000,368862369000,458440253000,645250453000,0.231838457874263,0.43317710640414403,0.538373764697379,0.7577561378631792,98.7206934505224,109740.54,94522.42985357447,-1971.47286821707,0,0,0,0,0
8,2016,IT,988855142966.0,245445165000,461105323000,557451972000,765391183507,0.24821144608077306,0.46630219429000297,0.563734714801566,0.7740174978624921,110.627065794132,307476.86,257624.4651732541,497.07216038770304,1,1,0,0,0
9,2017,IT,2755628186657.91,52273333000,156699011034,225147116034,383205146750,0.0695114781915688,0.208373548480834,0.29939374338521696,0.50957447464101,13.9243980295309,46197.6,36759.17618876525,1216.0974474312,0,0,0,0,0
10,2013,ПИЩЕВАЯ,3604346361586.0,685690245000,1408334381000,1758150611000,2794471474432,0.19023983163989802,0.390732254815905,0.4877862543227871,0.775306031688465,54.2358657290491,36395.44,36395.44824000001,1289.14939999999,0,0,0,0,0
