Цена сделки в рублях,2012,2013,2014,2015,2016,2017,2018
def,0.94876660341556,1,1.075,1.161,1.193508,1.256763924,1.3824403164
ДОБЫЧА,18494.670309999998,16702.870619999998,8834.03716,6636.3737,33116.522820000006,8821.01465,51799.051680000004
IT,12378.169600000001,34351.51085,51898.21509999999,109740.54106,307476.8601800001,46197.60650999999,40527.832
ПИЩЕВАЯ,25249.992479999986,36395.448240000005,17067.50248,8014.86432,49045.37223999999,23090.641050000002,108224.61146
СМИ,14541.76928,5087.63032,28891.660200000006,33173.540440000004,16698.748249999997,32168.43459,19673.67105
МАШИНОСТРОЕНИЕ,58335.42831,30922.23001,48730.74486,13179.231070000002,19155.452019999997,7229.21769,76470.48941
ЛЕГКАЯ,2177.7551,208.00766,265.3476,496.79475,0.0,150.63646,0.0
ЛЕСНАЯ,4314.80893,4289.862340000001,30328.376369999998,1007.87962,8773.16273,1417.325446,31214.763740000002
МЕТАЛЛУРГИЯ,10337.85618,41850.31869,33244.11574,41652.58537,21734.12796,13793.45243,10403.15383
СЕЛЬХОЗ,5495.392180000002,28134.11595,55169.140790000005,51337.868519999996,44805.25149000001,107557.28855,71351.74321
СПОРТ,3104.47518,13772.95507,3505.6998000000003,5327.995440000001,8419.43546,96641.30933,3812.66774
СТРОИТЕЛЬСТВО,81031.61196999998,132014.39320000002,166421.93253000005,588002.6455500006,634563.6570700002,206575.83901039997,545606.3438
СВЯЗЬ,142825.08375000002,21242.31991000001,15412.25657,71580.83137,49259.11359999998,11643.737680000002,7312.54371
ТОРГОВЛЯ,129854.42884000001,101930.61552,64556.57474999999,99239.00598000002,178178.22897999999,95371.50861,227908.74141
УСЛУГИ,42776.29451000001,69472.05352000002,77850.00819999998,54901.94619,53628.092420000015,85335.283117,29602.85123999999
ТЭК,229304.86175999997,2229095.57725,628654.7827099999,477606.5276600001,44646.55349,808404.6610380001,57112.224539999996
ФИНАНСОВЫЕ ИНСТИТУТЫ,58783.718356000005,103958.51754000002,126378.19281000004,150675.11885000003,67545.63816,506567.77236,364074.13313
НЕФТЕХИМ,66718.66243000001,52965.66602,46032.05192,24758.99144,76527.85594000001,33098.143599999996,19993.29656
ЭЛЕКТРОЭНЕРГЕТИКА,20390.13775,117993.85171999999,28337.702149999997,16604.56567,29137.8315,27813.12122,35110.688279999995
