year,format,otrasl,value_in,merge_index
2012,Внутренняя,IT,1062.6389455555552,2012IT
2012,Внутренняя,ДОБЫЧА,1146.0605975,2012ДОБЫЧА
2012,Внутренняя,ЛЕГКАЯ,435.55102,2012ЛЕГКАЯ
2012,Внутренняя,ЛЕСНАЯ,736.230482,2012ЛЕСНАЯ
2012,Внутренняя,МАШИНОСТРОЕНИЕ,2064.809039310345,2012МАШИНОСТРОЕНИЕ
2012,Внутренняя,МЕТАЛЛУРГИЯ,8469.296232499999,2012МЕТАЛЛУРГИЯ
2012,Внутренняя,НЕФТЕХИМ,1280.509313846154,2012НЕФТЕХИМ
2012,Внутренняя,ПИЩЕВАЯ,1085.0288369565212,2012ПИЩЕВАЯ
2012,Внутренняя,Прочие производства,211.1842,2012Прочие производства
2012,Внутренняя,СВЯЗЬ,9037.184991333334,2012СВЯЗЬ
2012,Внутренняя,СЕЛЬХОЗ,342.7126975000001,2012СЕЛЬХОЗ
2012,Внутренняя,СМИ,1080.1340699999996,2012СМИ
2012,Внутренняя,СТРОИТЕЛЬСТВО,3991.3676465,2012СТРОИТЕЛЬСТВО
2012,Внутренняя,Страхование,136.95877333333334,2012Страхование
2012,Внутренняя,ТОРГОВЛЯ,1953.3915197619046,2012ТОРГОВЛЯ
2012,Внутренняя,ТЭК,9350.475645263155,2012ТЭК
2012,Внутренняя,ТранСПОРТ,10316.966371249997,2012ТранСПОРТ
2012,Внутренняя,УСЛУГИ,616.7058043137257,2012УСЛУГИ
2012,Внутренняя,ФИНАНСОВЫЕ ИНСТИТУТЫ,1628.0831962777775,2012ФИНАНСОВЫЕ ИНСТИТУТЫ
2012,Внутренняя,ЭЛЕКТРОЭНЕРГЕТИКА,1436.426768,2012ЭЛЕКТРОЭНЕРГЕТИКА
2013,Внутренняя,IT,2857.336108333334,2013IT
2013,Внутренняя,ДОБЫЧА,2087.2435374999995,2013ДОБЫЧА
2013,Внутренняя,ЛЕГКАЯ,87.38013000000001,2013ЛЕГКАЯ
2013,Внутренняя,ЛЕСНАЯ,476.65137111111125,2013ЛЕСНАЯ
2013,Внутренняя,МАШИНОСТРОЕНИЕ,866.3984443478258,2013МАШИНОСТРОЕНИЕ
2013,Внутренняя,МЕТАЛЛУРГИЯ,1195.10092,2013МЕТАЛЛУРГИЯ
2013,Внутренняя,НЕФТЕХИМ,24342.045408461538,2013НЕФТЕХИМ
2013,Внутренняя,ПИЩЕВАЯ,704.0387666666667,2013ПИЩЕВАЯ
2013,Внутренняя,Прочие производства,1399.9452,2013Прочие производства
2013,Внутренняя,СВЯЗЬ,6034.9799440000015,2013СВЯЗЬ
2013,Внутренняя,СЕЛЬХОЗ,834.5651475999998,2013СЕЛЬХОЗ
2013,Внутренняя,СМИ,561.81938,2013СМИ
2013,Внутренняя,СПОРТ,723.0381666666667,2013СПОРТ
2013,Внутренняя,СТРОИТЕЛЬСТВО,3065.5178469841258,2013СТРОИТЕЛЬСТВО
2013,Внутренняя,Страхование,2221.880710000001,2013Страхование
2013,Внутренняя,ТОРГОВЛЯ,1045.365053902439,2013ТОРГОВЛЯ
2013,Внутренняя,ТЭК,64763.22739714286,2013ТЭК
2013,Внутренняя,ТранСПОРТ,3127.4136940625,2013ТранСПОРТ
2013,Внутренняя,УСЛУГИ,435.0737826530613,2013УСЛУГИ
2013,Внутренняя,ФИНАНСОВЫЕ ИНСТИТУТЫ,2624.233669130435,2013ФИНАНСОВЫЕ ИНСТИТУТЫ
2013,Внутренняя,ЭЛЕКТРОЭНЕРГЕТИКА,9688.434474166666,2013ЭЛЕКТРОЭНЕРГЕТИКА
2014,Внутренняя,IT,1624.2653252380953,2014IT
2014,Внутренняя,ДОБЫЧА,1143.6993371428573,2014ДОБЫЧА
2014,Внутренняя,ЛЕГКАЯ,132.6738,2014ЛЕГКАЯ
2014,Внутренняя,ЛЕСНАЯ,2127.36879,2014ЛЕСНАЯ
2014,Внутренняя,МАШИНОСТРОЕНИЕ,1020.7181076470587,2014МАШИНОСТРОЕНИЕ
2014,Внутренняя,МЕТАЛЛУРГИЯ,3668.6877340000005,2014МЕТАЛЛУРГИЯ
2014,Внутренняя,НЕФТЕХИМ,4227.6268625,2014НЕФТЕХИМ
2014,Внутренняя,ПИЩЕВАЯ,566.7470144444445,2014ПИЩЕВАЯ
2014,Внутренняя,Прочие производства,907.637158,2014Прочие производства
2014,Внутренняя,СВЯЗЬ,3518.9037705882347,2014СВЯЗЬ
2014,Внутренняя,СЕЛЬХОЗ,1558.8489641666665,2014СЕЛЬХОЗ
2014,Внутренняя,СМИ,2407.638350000001,2014СМИ
2014,Внутренняя,СТРОИТЕЛЬСТВО,2576.529332307692,2014СТРОИТЕЛЬСТВО
2014,Внутренняя,Страхование,640.8870171428573,2014Страхование
2014,Внутренняя,ТОРГОВЛЯ,1478.2372162222216,2014ТОРГОВЛЯ
2014,Внутренняя,ТЭК,16341.693241666668,2014ТЭК
2014,Внутренняя,ТранСПОРТ,804.0753085714286,2014ТранСПОРТ
2014,Внутренняя,УСЛУГИ,1493.3980789999996,2014УСЛУГИ
2014,Внутренняя,ФИНАНСОВЫЕ ИНСТИТУТЫ,2786.830331842106,2014ФИНАНСОВЫЕ ИНСТИТУТЫ
2014,Внутренняя,ЭЛЕКТРОЭНЕРГЕТИКА,1488.2458792857144,2014ЭЛЕКТРОЭНЕРГЕТИКА
2015,Внутренняя,IT,1119.3124108333334,2015IT
2015,Внутренняя,ДОБЫЧА,51111.843051428565,2015ДОБЫЧА
2015,Внутренняя,ЛЕГКАЯ,496.79475,2015ЛЕГКАЯ
2015,Внутренняя,ЛЕСНАЯ,148.16875000000005,2015ЛЕСНАЯ
2015,Внутренняя,МАШИНОСТРОЕНИЕ,1716.4653420000002,2015МАШИНОСТРОЕНИЕ
2015,Внутренняя,МЕТАЛЛУРГИЯ,3094.099217142857,2015МЕТАЛЛУРГИЯ
2015,Внутренняя,НЕФТЕХИМ,3517.7568300000007,2015НЕФТЕХИМ
2015,Внутренняя,ПИЩЕВАЯ,1079.81996625,2015ПИЩЕВАЯ
2015,Внутренняя,Прочие производства,999.2388,2015Прочие производства
2015,Внутренняя,СВЯЗЬ,941.711040625,2015СВЯЗЬ
2015,Внутренняя,СЕЛЬХОЗ,1852.7274313793107,2015СЕЛЬХОЗ
2015,Внутренняя,СМИ,1671.5275463636358,2015СМИ
2015,Внутренняя,СТРОИТЕЛЬСТВО,10345.247219824569,2015СТРОИТЕЛЬСТВО
2015,Внутренняя,Страхование,847.0429266666665,2015Страхование
2015,Внутренняя,ТОРГОВЛЯ,2633.4525433333342,2015ТОРГОВЛЯ
2015,Внутренняя,ТЭК,14854.129911875,2015ТЭК
2015,Внутренняя,ТранСПОРТ,8303.503570454546,2015ТранСПОРТ
2015,Внутренняя,УСЛУГИ,2670.9334838709674,2015УСЛУГИ
2015,Внутренняя,ФИНАНСОВЫЕ ИНСТИТУТЫ,4110.259788333335,2015ФИНАНСОВЫЕ ИНСТИТУТЫ
2015,Внутренняя,ЭЛЕКТРОЭНЕРГЕТИКА,2749.310282222223,2015ЭЛЕКТРОЭНЕРГЕТИКА
2016,Внутренняя,IT,1908.502672608696,2016IT
2016,Внутренняя,ДОБЫЧА,19399.773756,2016ДОБЫЧА
2016,Внутренняя,ЛЕСНАЯ,991.4644333333334,2016ЛЕСНАЯ
2016,Внутренняя,МАШИНОСТРОЕНИЕ,3125.752894,2016МАШИНОСТРОЕНИЕ
2016,Внутренняя,МЕТАЛЛУРГИЯ,842.9095800000001,2016МЕТАЛЛУРГИЯ
2016,Внутренняя,НЕФТЕХИМ,2562.007922,2016НЕФТЕХИМ
2016,Внутренняя,ПИЩЕВАЯ,2641.7921189473677,2016ПИЩЕВАЯ
2016,Внутренняя,СВЯЗЬ,1148.9522907692308,2016СВЯЗЬ
2016,Внутренняя,СЕЛЬХОЗ,1485.0772702500005,2016СЕЛЬХОЗ
2016,Внутренняя,СМИ,1729.3745314285711,2016СМИ
2016,Внутренняя,СПОРТ,1887.87561,2016СПОРТ
2016,Внутренняя,СТРОИТЕЛЬСТВО,11029.689371500004,2016СТРОИТЕЛЬСТВО
2016,Внутренняя,Страхование,1403.2392433333334,2016Страхование
2016,Внутренняя,ТОРГОВЛЯ,3181.2965948076912,2016ТОРГОВЛЯ
2016,Внутренняя,ТЭК,4785.67721875,2016ТЭК
2016,Внутренняя,ТранСПОРТ,3904.954297222223,2016ТранСПОРТ
2016,Внутренняя,УСЛУГИ,1042.7871575862068,2016УСЛУГИ
2016,Внутренняя,ФИНАНСОВЫЕ ИНСТИТУТЫ,1858.3727554838708,2016ФИНАНСОВЫЕ ИНСТИТУТЫ
2016,Внутренняя,ЭЛЕКТРОЭНЕРГЕТИКА,3400.7047525000007,2016ЭЛЕКТРОЭНЕРГЕТИКА
2017,Внутренняя,IT,1415.1521328000006,2017IT
2017,Внутренняя,ДОБЫЧА,8907.7082,2017ДОБЫЧА
2017,Внутренняя,ЛЕГКАЯ,150.63646,2017ЛЕГКАЯ
2017,Внутренняя,ЛЕСНАЯ,354.3313615,2017ЛЕСНАЯ
2017,Внутренняя,МАШИНОСТРОЕНИЕ,1052.7365871428572,2017МАШИНОСТРОЕНИЕ
2017,Внутренняя,МЕТАЛЛУРГИЯ,2025.110016666667,2017МЕТАЛЛУРГИЯ
2017,Внутренняя,НЕФТЕХИМ,5608.401803333334,2017НЕФТЕХИМ
2017,Внутренняя,ПИЩЕВАЯ,845.530772173913,2017ПИЩЕВАЯ
