,year,format,otrasl,value
0,2012,Внутренняя,IT,1062.6389455555552
1,2012,Внутренняя,ДОБЫЧА,1146.0605974999999
2,2012,Внутренняя,ЛЕГКАЯ,435.55102
3,2012,Внутренняя,ЛЕСНАЯ,736.230482
4,2012,Внутренняя,МАШИНОСТРОЕНИЕ,2064.809039310345
5,2012,Внутренняя,МЕТАЛЛУРГИЯ,8469.296232499999
6,2012,Внутренняя,ПИЩЕВАЯ,1085.0288369565212
7,2012,Внутренняя,Прочие производства,211.1842
8,2012,Внутренняя,СМИ,1080.1340699999998
9,2012,Внутренняя,СВЯЗЬ,9037.184991333334
10,2012,Внутренняя,СЕЛЬХОЗ,342.71269750000005
11,2012,Внутренняя,Страхование,136.95877333333334
12,2012,Внутренняя,СТРОИТЕЛЬСТВО,3991.3676465000003
13,2012,Внутренняя,ТЭК,9350.475645263157
14,2012,Внутренняя,ТОРГОВЛЯ,1953.3915197619049
15,2012,Внутренняя,ТранСПОРТ,10316.966371249997
16,2012,Внутренняя,УСЛУГИ,616.7058043137256
17,2012,Внутренняя,ФИНАНСОВЫЕ ИНСТИТУТЫ,1628.0831962777777
18,2012,Внутренняя,НЕФТЕХИМ,1280.5093138461539
19,2012,Внутренняя,ЭЛЕКТРОЭНЕРГЕТИКА,1436.426768
20,2012,Трансграничная(in-out),IT,599.64964
21,2012,Трансграничная(in-out),ДОБЫЧА,1270.8014125
22,2012,Трансграничная(in-out),МАШИНОСТРОЕНИЕ,981.0630424999998
23,2012,Трансграничная(in-out),МЕТАЛЛУРГИЯ,1556.6518925
24,2012,Трансграничная(in-out),ПИЩЕВАЯ,323.68216
25,2012,Трансграничная(in-out),СМИ,293.282
26,2012,Трансграничная(in-out),СВЯЗЬ,7393.502799999999
27,2012,Трансграничная(in-out),СПОРТ,796.9818700000001
28,2012,Трансграничная(in-out),СТРОИТЕЛЬСТВО,63.0504
29,2012,Трансграничная(in-out),ТЭК,12161.048637499998
30,2012,Трансграничная(in-out),ТОРГОВЛЯ,3960.912436666666
31,2012,Трансграничная(in-out),ТранСПОРТ,20937.282645000003
32,2012,Трансграничная(in-out),УСЛУГИ,544.655782
33,2012,Трансграничная(in-out),ФИНАНСОВЫЕ ИНСТИТУТЫ,30840.376458000002
34,2012,Трансграничная(in-out),НЕФТЕХИМ,13189.8886475
35,2012,Трансграничная(in-out),ЭЛЕКТРОЭНЕРГЕТИКА,789.589814
36,2012,Трансграничная(out-in),IT,125.927
37,2012,Трансграничная(out-in),ДОБЫЧА,1016.1082999999999
38,2012,Трансграничная(out-in),ЛЕСНАЯ,633.6565200000001
39,2012,Трансграничная(out-in),МАШИНОСТРОЕНИЕ,1732.9293799999998
40,2012,Трансграничная(out-in),МЕТАЛЛУРГИЯ,870.8945100000001
41,2012,Трансграничная(out-in),ПИЩЕВАЯ,7213.84011
42,2012,Трансграничная(out-in),Прочие производства,2067.4647
43,2012,Трансграничная(out-in),СЕЛЬХОЗ,2259.7309199999995
44,2012,Трансграничная(out-in),Страхование,745.82294
45,2012,Трансграничная(out-in),СТРОИТЕЛЬСТВО,4269.791829999999
46,2012,Трансграничная(out-in),ТЭК,791.5531785714285
47,2012,Трансграничная(out-in),ТОРГОВЛЯ,3988.2889499999997
48,2012,Трансграничная(out-in),ТранСПОРТ,3546.513022857143
49,2012,Трансграничная(out-in),УСЛУГИ,1152.113224
50,2012,Трансграничная(out-in),ФИНАНСОВЫЕ ИНСТИТУТЫ,2206.764
51,2012,Трансграничная(out-in),НЕФТЕХИМ,1357.3162399999999
52,2012,Трансграничная(out-in),ЭЛЕКТРОЭНЕРГЕТИКА,2301.07592
53,2013,Внутренняя,IT,2857.336108333334
54,2013,Внутренняя,ДОБЫЧА,2087.2435374999995
55,2013,Внутренняя,ЛЕГКАЯ,87.38013
56,2013,Внутренняя,ЛЕСНАЯ,476.6513711111112
57,2013,Внутренняя,МАШИНОСТРОЕНИЕ,866.3984443478258
58,2013,Внутренняя,МЕТАЛЛУРГИЯ,1195.1009199999999
59,2013,Внутренняя,ПИЩЕВАЯ,704.0387666666667
60,2013,Внутренняя,Прочие производства,1399.9452
61,2013,Внутренняя,СМИ,561.81938
62,2013,Внутренняя,СВЯЗЬ,6034.979944000001
63,2013,Внутренняя,СЕЛЬХОЗ,834.5651475999999
64,2013,Внутренняя,СПОРТ,723.0381666666667
65,2013,Внутренняя,Страхование,2221.8807100000004
66,2013,Внутренняя,СТРОИТЕЛЬСТВО,3065.517846984126
67,2013,Внутренняя,ТЭК,64763.22739714286
68,2013,Внутренняя,ТОРГОВЛЯ,1045.365053902439
69,2013,Внутренняя,ТранСПОРТ,3127.4136940625
70,2013,Внутренняя,УСЛУГИ,435.0737826530613
71,2013,Внутренняя,ФИНАНСОВЫЕ ИНСТИТУТЫ,2624.233669130435
72,2013,Внутренняя,НЕФТЕХИМ,24342.045408461538
73,2013,Внутренняя,ЭЛЕКТРОЭНЕРГЕТИКА,9688.434474166666
74,2013,Трансграничная(in-out),IT,398.9688
75,2013,Трансграничная(in-out),ДОБЫЧА,707.0040250000001
76,2013,Трансграничная(in-out),ЛЕГКАЯ,33.2474
77,2013,Трансграничная(in-out),МАШИНОСТРОЕНИЕ,1315.789425
78,2013,Трансграничная(in-out),МЕТАЛЛУРГИЯ,10736.470213333334
79,2013,Трансграничная(in-out),ПИЩЕВАЯ,3035.1770437500004
80,2013,Трансграничная(in-out),СМИ,31.2559
