year,otrasl,IHH,MA,real_prices,real_gdp_change,market_type,type_1,type_2,type_3,type_4,value_inout,value_in,value_outin
2013,IT,86.41889244442201,34351.51,34351.51085,1289.14939999999,0,0,0,0,0,398.9688,2857.336108333334,1149.0668733333334
2013,ДОБЫЧА,985.8810146589959,16702.87,16702.870619999998,1289.14939999999,3,0,0,1,0,707.0040250000003,2087.2435374999995,9492.262
2013,ЛЕГКАЯ,175.64253251621003,208.00766,208.00766000000002,1289.14939999999,1,1,0,0,0,33.2474,87.38013000000002,
2013,ЛЕСНАЯ,116.214857870977,4289.86234,4289.8623400000015,1289.14939999999,1,1,0,0,0,,476.65137111111125,
2013,МАШИНОСТРОЕНИЕ,119.569618758862,30922.230010000014,30922.23001000001,1289.14939999999,1,1,0,0,0,1315.789425,866.3984443478258,4120.1495825
2013,МЕТАЛЛУРГИЯ,365.920194425657,41850.31869,41850.31869,1289.14939999999,2,0,1,0,0,10736.470213333334,1195.1009199999999,5983.093583333332
2013,НЕФТЕХИМ,359.8126650831549,52965.66602,52965.66602,1289.14939999999,2,0,1,0,0,6224.494960000001,24342.045408461538,1227.669685
2013,ПИЩЕВАЯ,54.2358657290491,36395.44,36395.44824000001,1289.14939999999,0,0,0,0,0,3035.1770437500004,704.0387666666667,663.6831933333333
2013,СВЯЗЬ,1381.20524914798,21242.31991,21242.31991000001,1289.14939999999,4,0,0,0,1,571.98297,6034.979944000002,358.88775
2013,СЕЛЬХОЗ,16.5692857421899,28134.11595,28134.11595,1289.14939999999,0,0,0,0,0,,834.5651475999997,2253.7970760000007
2013,СМИ,381.05941751061897,5087.63032,5087.63032,1289.14939999999,2,0,1,0,0,31.2559,561.81938,234.41925
2013,СПОРТ,257.369944301405,3931.4585,13772.955069999998,1289.14939999999,2,0,1,0,0,1474.9522000000006,723.0381666666667,
2013,СТРОИТЕЛЬСТВО,53.1699731017483,132014.3932,132014.39320000002,1289.14939999999,0,0,0,0,0,6152.01536,3065.5178469841253,2804.152825
2013,ТОРГОВЛЯ,196.36984335170902,101930.61552,101930.61552,1289.14939999999,1,1,0,0,0,592.241632,1045.365053902439,5782.488084545455
