year,format,otrasl,value_outin,merge_index
2012,Трансграничная(out-in),IT,125.927,2012IT
2012,Трансграничная(out-in),ДОБЫЧА,1016.1083,2012ДОБЫЧА
2012,Трансграничная(out-in),ЛЕСНАЯ,633.6565200000001,2012ЛЕСНАЯ
2012,Трансграничная(out-in),МАШИНОСТРОЕНИЕ,1732.9293799999996,2012МАШИНОСТРОЕНИЕ
2012,Трансграничная(out-in),МЕТАЛЛУРГИЯ,870.8945100000002,2012МЕТАЛЛУРГИЯ
2012,Трансграничная(out-in),НЕФТЕХИМ,1357.31624,2012НЕФТЕХИМ
2012,Трансграничная(out-in),ПИЩЕВАЯ,7213.840109999999,2012ПИЩЕВАЯ
2012,Трансграничная(out-in),Прочие производства,2067.4647,2012Прочие производства
2012,Трансграничная(out-in),СЕЛЬХОЗ,2259.7309199999995,2012СЕЛЬХОЗ
2012,Трансграничная(out-in),СТРОИТЕЛЬСТВО,4269.791829999999,2012СТРОИТЕЛЬСТВО
2012,Трансграничная(out-in),Страхование,745.82294,2012Страхование
2012,Трансграничная(out-in),ТОРГОВЛЯ,3988.28895,2012ТОРГОВЛЯ
2012,Трансграничная(out-in),ТЭК,791.5531785714285,2012ТЭК
2012,Трансграничная(out-in),ТранСПОРТ,3546.513022857143,2012ТранСПОРТ
2012,Трансграничная(out-in),УСЛУГИ,1152.113224,2012УСЛУГИ
2012,Трансграничная(out-in),ФИНАНСОВЫЕ ИНСТИТУТЫ,2206.764,2012ФИНАНСОВЫЕ ИНСТИТУТЫ
2012,Трансграничная(out-in),ЭЛЕКТРОЭНЕРГЕТИКА,2301.0759199999998,2012ЭЛЕКТРОЭНЕРГЕТИКА
2013,Трансграничная(out-in),IT,1149.0668733333334,2013IT
2013,Трансграничная(out-in),ДОБЫЧА,9492.261999999999,2013ДОБЫЧА
2013,Трансграничная(out-in),МАШИНОСТРОЕНИЕ,4120.1495825,2013МАШИНОСТРОЕНИЕ
2013,Трансграничная(out-in),МЕТАЛЛУРГИЯ,5983.093583333333,2013МЕТАЛЛУРГИЯ
2013,Трансграничная(out-in),НЕФТЕХИМ,1227.669685,2013НЕФТЕХИМ
2013,Трансграничная(out-in),ПИЩЕВАЯ,663.6831933333333,2013ПИЩЕВАЯ
