sav,grp,cons,inc,unemp,cpi,debt,deprub,depcur,inv,emp,dem,migr
87652.4,443086.2,252319.6,28331,33,111.4,215824,68474,23415,95036,65.7,756,38
62975.9,219575.8,241368.1,25362,29,113.2,72657,35208,3790,50641,63.5,772,-15
63309.8,255398.6,221438.2,23729,42,112.5,88074,50756,6875,51030,66.9,804,-11
57634.4,352926,301429.6,29922,52,113.6,265902,123215,15928,113475,62.5,761,52
58895.5,165496.3,211776.5,22556,31,113.8,41024,31467,8089,24882,65.3,790,-22
77527.6,331468.3,254908.4,27703,23,114.5,118047,46701,6978,91777,66.8,768,17
59206.7,241539,210097.3,22442,17,112.9,35996,19535,1902,41881,62.6,816,-10
66319.8,299723.7,243292.2,25801,24,113.9,165050,34033,3780,65920,64.7,791,70
54236.5,395476.5,277743.5,27665,24,112.1,97241,48631,6009,100377,65,787,22
101383.2,441778.2,351040.8,37702,129,113.9,1130498,461300,66568,85764,69.2,697,120
48610,269862.2,225338,22829,24,112.8,56597,28549,2363,62927,61.8,795,-21
65709.7,279032.6,225002.3,24226,25,112.3,89578,45506,5596,47839,59.2,806,0.01
61618.2,267334.9,235465.8,24757,33,111.9,64293,35686,4863,57234,66.4,744,-6
56730.2,326479.9,244337.8,25089,24,112.7,85078,40502,3836,111365,61.4,789,-52
44964.4,260478.4,236483.6,23454,39,112.1,60344,51831,6474,56082,66.5,814,-14
69460.7,315660.1,246019.3,26290,33,112.9,147828,56596,5519,69953,66.1,797,19
82502.7,339699.5,245853.3,27363,37,113.9,127730,56568,8485,59317,67.8,802,37
120625.8,1103453.3,597574.2,59850,125,114.2,7860912,1508069,742640,125866,73.4,684,92
38880.4,334493.5,269723.6,25717,29,112.3,30699,29870,3093,51865,61.9,783,-12
88279.2,607941.9,302260.8,32545,33,113.2,27854,49124,6807,197456,66.2,695,-102
74236.4,523566.2,316783.6,32585,42,113,122244,61743,6263,146111,63,780,-68
96952.8,394135.5,210031.2,25582,42,112,97913,43322,5001,73245,63.5,789,-17
69518.1,337989.9,240981.9,25875,30,111.7,127528,48376,12093,70953,67.2,715,82
32232.1,480298,264731.9,24747,49,113.3,225330,53835,6100,127119,66.6,724,68
90327.4,510830,351848.6,36848,35,113.4,29783,70482,8536,131399,69.3,651,-57
34239.1,389441.8,275036.9,25773,15,112.6,32859,22814,2795,112340,66.6,841,7
37719.5,204768.6,222800.5,21710,23,114.2,35586,23777,2533,42179,62.6,820,-1
